@relation aux
@attribute Firm {'Aiden','Ando_Iron_Works','Asahi_Seiko','Chuo_Seikakusho','Chuyu','Dai-Nippon_Sugar_Mfg','Doko_Spinning','Fuji_Seito','Fujiya_Electric','Gisen','Hamaguchi_Senco','Hikari_Bussiness_For','Hitachi_Ferrite','Ishii_Precision_Tool','Japan_Drop_Forge','Kohjin','Kojima_Iron_Works','Maeda_Metal_Ind.','Mamiya_Camera','Marine_Techno','Meiji_Sugar_Mfg.','Metalart','Mie_Horo','Mino_Ceramic','Miroku_Firearms_Mfg.','Monde_Distilleries','Morio_Denki','Nagahama_Gohan','Nagoya_Lumber','Nagoya_Seito','Nankai_Worsted_Spin','Nihon_Aeroplane_Mfg.','Nihon_Sugar_Refining','Nippon_Orimono_Kato','Nippon_Tile_Industri','Osaka_Meter','Osaka_Yogyo','SR_Suntour','Saga_Paper_Board','Sakonic','Sakurai_Iron_Works','Sankyo_Special_Steel','Sansei_Mfg.','Shoun_Machine_Tool','Takeni_Senka','Toa_Electronics','Tokuyama','Toyo_Sugar','Tsunoda','Uemori_Agricultural','Yamato_Woolen_Textil','Yoshida_Machine_Tool'}
@attribute EBIT.TA numeric
@attribute NI.TC numeric
@attribute Sales.TA numeric
@attribute EBIT.Sales numeric
@attribute NI.Sales numeric
@attribute WC.TA numeric
@attribute Equity.TL numeric
@attribute Equity.TA numeric
@attribute class {'minority','majority'}
@data
'Hikari_Bussiness_For',0.067,0.079,1.449,0.046,0.015,-0.08,0.186,0.157,'majority'
'Nankai_Worsted_Spin',0.052,0.116,1.922,0.027,0.019,0.112,0.393,0.282,'majority'
'SR_Suntour',0.085,0.087,1.317,0.064,0.035,0.197,0.516,0.34,'majority'
'Nagoya_Lumber',0.019,0.039,2.177,0.009,0.003,0.064,0.201,0.617,'majority'
'Gisen',0.034,0.03,1.676,0.02,0.012,0.089,0.668,0.4,'majority'
'Dai-Nippon_Sugar_Mfg',-0.0701,0.1246,3.7913,-0.0185,-0.0185,-1.0029,-0.4496,0.076,'minority'
'Meiji_Sugar_Mfg.',-0.71,0.9775,3.8498,-0.1844,-0.1844,-1.1348,-0.4641,-0.413,'minority'
'Nagoya_Seito',-0.1307,-0.3354,2.4262,-0.0539,-0.0539,-0.2872,-0.1046,0.079,'minority'
'Monde_Distilleries',0.0101,0.0605,0.906,0.0112,0.0112,-0.2936,0.1852,-0.333,'minority'
'Yamato_Woolen_Textil',0.0265,0.1076,0.8962,0.0296,0.0296,-0.1839,0.2039,0.169,'minority'
'Takeni_Senka',-0.2674,-1.5182,1.64,-0.1631,-0.1631,-0.2326,-0.2925,-0.653,'minority'
'Kohjin',-0.0093,-0.0212,0.1733,-0.0539,-0.0539,0.2304,0.0856,0.099,'minority'
'Nippon_Tile_Industri',-0.4904,0.3285,1.848,-0.2654,-0.2654,-1.8847,-0.6366,-3.959,'minority'
'Osaka_Yogyo',-0.4434,-4.2589,1.1062,-0.4008,-0.401,-0.4772,-0.3152,0.449,'minority'
'Sakurai_Iron_Works',-0.132,-0.7261,0.9783,-0.1349,-0.1349,-0.1427,-0.3096,0.054,'minority'
'Sankyo_Special_Steel',-0.0089,-0.0191,1.0225,-0.0087,-0.0087,-0.1129,-0.4086,0.137,'minority'
'Ando_Iron_Works',0.0154,0.0338,0.5392,0.0285,0.0128,0.0246,0.1157,-0.066,'minority'
'Sansei_Mfg.',-0.1083,-1.6352,0.6321,-0.1714,-0.1714,-0.1092,-0.0477,-0.204,'minority'
'Yoshida_Machine_Tool',-0.0058,-0.0202,0.5367,-0.0107,-0.0107,0.0785,0.2205,-1.752,'minority'
'Asahi_Seiko',-0.2294,-0.4678,4.2599,-0.0539,-0.0539,0.2138,0.2282,-0.817,'minority'
'Fujiya_Electric',0.0869,0.651,1.5505,0.056,0.056,-0.076,-0.2098,-0.007,'minority'
'Aiden',-0.0019,-0.0116,1.3659,-0.0014,-0.0016,-0.0257,0.11,-0.117,'minority'
'Hitachi_Ferrite',-0.1643,-3.4785,0.386,-0.1186,-0.1167,-0.2896,-0.1694,0.181,'minority'
'Osaka_Meter',-0.0319,-0.2092,0.5145,-0.0621,-0.0621,0.0797,0.1585,-0.023,'minority'
'Mamiya_Camera',-0.0434,-0.1759,0.849,-0.0511,-0.0511,0.0785,0.0572,0.186,'minority'
'Uemori_Agricultural',-0.836,0.734,1.0642,-0.7856,-0.7856,-1.451,-0.7984,-0.866,'minority'
'Saga_Paper_Board',0.1973,0.4086,1.4161,0.1393,0.0857,-0.0669,0.0821,0.156,'minority'
'Nihon_Aeroplane_Mfg.',0.0279,0.252,0.2559,0.1092,0.1092,0.0562,0.1247,-2.056,'minority'
'Nagahama_Gohan',-0.091,-0.7737,2.2764,-0.04,-0.0396,-0.2168,-0.0224,0.111,'minority'
'Hamaguchi_Senco',-0.1161,0.2015,2.515,-0.0462,-0.0462,-1.0256,-0.6728,-0.266,'minority'
