@relation aux
@attribute col_1 numeric
@attribute col_2 numeric
@attribute class {'majority','minority'}
@data
1989,39,'majority'
1989,40,'majority'
1989,41,'majority'
1989,42,'majority'
1989,43,'majority'
1989,44,'majority'
1989,45,'majority'
1989,46,'majority'
1989,47,'majority'
1989,48,'majority'
1989,49,'majority'
1989,50,'majority'
1989,51,'majority'
1989,52,'majority'
1990,1,'majority'
1990,2,'majority'
1990,3,'minority'
1990,4,'majority'
1990,5,'minority'
1990,6,'minority'
1990,7,'minority'
1990,8,'minority'
1990,9,'minority'
1990,10,'minority'
1990,11,'minority'
1990,12,'minority'
1990,13,'minority'
1990,14,'minority'
1990,15,'minority'
1990,16,'minority'
1990,17,'minority'
1990,18,'minority'
1990,19,'minority'
1990,20,'minority'
1990,21,'minority'
1990,22,'minority'
1990,23,'minority'
1990,24,'minority'
1990,25,'minority'
1990,26,'minority'
1990,27,'minority'
1990,28,'minority'
1990,29,'minority'
1990,30,'minority'
1990,31,'majority'
1990,32,'majority'
1990,33,'majority'
1990,34,'majority'
1990,35,'majority'
1990,36,'minority'
1990,37,'majority'
1990,38,'minority'
1990,39,'majority'
1990,40,'minority'
1990,41,'majority'
1990,42,'minority'
1990,43,'majority'
1990,44,'minority'
1990,45,'minority'
1990,46,'majority'
1990,47,'majority'
1990,48,'majority'
1990,49,'majority'
1990,50,'majority'
1990,51,'majority'
1990,52,'majority'
1991,1,'minority'
1991,2,'minority'
1991,3,'minority'
1991,4,'minority'
1991,5,'minority'
1991,6,'minority'
1991,7,'minority'
1991,8,'minority'
1991,9,'minority'
1991,10,'minority'
1991,11,'minority'
1991,12,'minority'
1991,13,'minority'
1991,14,'minority'
1991,15,'minority'
1991,16,'minority'
1991,17,'minority'
1991,18,'minority'
1991,19,'minority'
1991,20,'minority'
1991,21,'minority'
1991,22,'minority'
1991,23,'minority'
1991,24,'minority'
1991,25,'minority'
1991,26,'minority'
1991,27,'minority'
1991,28,'minority'
1991,29,'minority'
1991,30,'minority'
1991,31,'minority'
1991,32,'minority'
1991,33,'minority'
1991,34,'minority'
1991,35,'minority'
1991,36,'minority'
1991,37,'minority'
1991,38,'minority'
1991,39,'minority'
1991,40,'minority'
1991,41,'minority'
1991,42,'minority'
1991,43,'minority'
1991,44,'minority'
1991,45,'minority'
1991,46,'minority'
1991,47,'minority'
1991,48,'minority'
1991,49,'minority'
1991,50,'minority'
1991,51,'majority'
1991,52,'majority'
