@relation aux
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute class {'majority','minority'}
@data
23,8,2000,64,'majority'
16,3,750,50,'majority'
23,3,750,33,'majority'
21,3,750,38,'majority'
23,2,500,28,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
21,1,250,21,'minority'
21,1,250,21,'majority'
21,1,250,21,'majority'
21,5,1250,60,'majority'
23,4,1000,45,'majority'
21,4,1000,52,'majority'
22,1,250,22,'minority'
11,2,500,70,'majority'
23,5,1250,58,'majority'
23,3,750,40,'majority'
23,3,750,41,'majority'
14,3,750,83,'majority'
21,2,500,35,'majority'
26,5,1250,49,'minority'
23,6,1500,70,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,4,1000,53,'majority'
21,6,1500,86,'majority'
23,3,750,48,'majority'
21,2,500,41,'majority'
21,3,750,64,'majority'
16,2,500,70,'majority'
21,3,750,70,'majority'
23,4,1000,87,'majority'
23,3,750,89,'majority'
23,2,500,87,'majority'
35,3,750,64,'majority'
38,1,250,38,'majority'
38,1,250,38,'majority'
40,1,250,40,'majority'
74,1,250,74,'majority'
2,43,10750,86,'minority'
6,22,5500,28,'minority'
2,34,8500,77,'minority'
2,44,11000,98,'majority'
0,26,6500,76,'minority'
2,41,10250,98,'minority'
3,21,5250,42,'minority'
2,11,2750,23,'majority'
2,21,5250,52,'minority'
2,13,3250,32,'minority'
4,4,1000,4,'minority'
2,11,2750,26,'majority'
2,11,2750,28,'majority'
3,14,3500,35,'majority'
4,16,4000,38,'minority'
4,6,1500,14,'majority'
3,5,1250,12,'minority'
4,33,8250,98,'minority'
3,10,2500,33,'minority'
4,10,2500,28,'minority'
2,11,2750,40,'minority'
2,11,2750,41,'minority'
4,13,3250,39,'minority'
1,10,2500,43,'minority'
4,9,2250,28,'majority'
2,4,1000,11,'majority'
2,5,1250,16,'minority'
2,15,3750,64,'majority'
5,24,6000,79,'majority'
2,6,1500,22,'minority'
4,5,1250,16,'minority'
2,4,1000,14,'minority'
4,8,2000,28,'majority'
2,4,1000,14,'majority'
2,6,1500,26,'majority'
4,5,1250,16,'minority'
2,7,1750,32,'minority'
2,6,1500,26,'minority'
2,8,2000,38,'minority'
2,2,500,4,'minority'
2,6,1500,28,'minority'
2,10,2500,52,'majority'
4,16,4000,70,'minority'
4,2,500,4,'minority'
1,14,3500,95,'majority'
4,2,500,4,'minority'
7,14,3500,48,'majority'
2,3,750,11,'majority'
2,12,3000,70,'minority'
4,7,1750,32,'minority'
4,4,1000,16,'majority'
2,6,1500,35,'minority'
4,6,1500,28,'minority'
2,3,750,14,'majority'
2,4,1000,23,'majority'
4,4,1000,18,'majority'
5,6,1500,28,'majority'
4,6,1500,30,'majority'
14,5,1250,14,'majority'
3,8,2000,50,'majority'
4,11,2750,64,'minority'
4,9,2250,52,'majority'
4,16,4000,98,'minority'
7,10,2500,47,'majority'
4,14,3500,86,'majority'
2,9,2250,75,'majority'
4,6,1500,35,'majority'
4,9,2250,55,'majority'
4,6,1500,35,'minority'
2,6,1500,45,'majority'
2,6,1500,47,'majority'
4,2,500,9,'majority'
2,2,500,11,'minority'
2,2,500,11,'majority'
2,2,500,11,'minority'
4,6,1500,38,'minority'
3,4,1000,29,'minority'
9,9,2250,38,'majority'
11,5,1250,18,'majority'
2,3,750,21,'majority'
2,1,250,2,'majority'
2,1,250,2,'minority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'minority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
11,11,2750,38,'majority'
2,3,750,22,'majority'
9,11,2750,49,'minority'
5,11,2750,75,'majority'
3,5,1250,38,'majority'
3,1,250,3,'minority'
4,6,1500,43,'majority'
2,3,750,24,'majority'
12,11,2750,39,'majority'
2,2,500,14,'majority'
4,6,1500,46,'majority'
9,3,750,14,'majority'
14,8,2000,26,'majority'
4,2,500,13,'majority'
4,11,2750,95,'majority'
2,7,1750,77,'majority'
2,7,1750,77,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'minority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'minority'
4,1,250,4,'majority'
4,7,1750,62,'majority'
4,1,250,4,'majority'
4,4,1000,34,'minority'
11,6,1500,28,'majority'
13,3,750,14,'minority'
7,5,1250,35,'majority'
9,9,2250,54,'majority'
11,2,500,11,'majority'
2,5,1250,63,'majority'
7,11,2750,89,'majority'
8,9,2250,64,'majority'
2,2,500,22,'majority'
6,3,750,26,'majority'
12,15,3750,71,'majority'
13,3,750,16,'majority'
11,16,4000,89,'majority'
4,5,1250,58,'majority'
14,7,1750,35,'majority'
11,4,1000,27,'majority'
7,9,2250,89,'minority'
11,8,2000,52,'minority'
7,5,1250,52,'majority'
11,6,1500,41,'majority'
10,5,1250,38,'majority'
14,2,500,14,'minority'
14,2,500,14,'majority'
14,2,500,14,'majority'
2,2,500,33,'majority'
11,3,750,23,'majority'
14,8,2000,46,'majority'
9,1,250,9,'majority'
16,5,1250,27,'majority'
14,4,1000,26,'majority'
4,2,500,30,'majority'
14,3,750,21,'majority'
16,16,4000,77,'majority'
4,2,500,31,'majority'
14,8,2000,50,'majority'
11,3,750,26,'majority'
14,7,1750,45,'majority'
15,5,1250,33,'majority'
16,2,500,16,'majority'
16,3,750,21,'majority'
11,8,2000,72,'majority'
11,1,250,11,'majority'
11,1,250,11,'majority'
11,1,250,11,'majority'
11,1,250,11,'minority'
11,1,250,11,'majority'
2,3,750,75,'minority'
2,3,750,77,'majority'
16,4,1000,28,'majority'
16,15,3750,87,'majority'
16,14,3500,83,'majority'
16,10,2500,62,'majority'
16,3,750,23,'majority'
14,3,750,26,'majority'
23,19,4750,62,'majority'
11,7,1750,75,'majority'
14,3,750,28,'majority'
20,14,3500,69,'minority'
4,2,500,46,'majority'
11,2,500,25,'majority'
11,3,750,37,'majority'
16,4,1000,33,'majority'
21,7,1750,38,'majority'
13,7,1750,76,'majority'
16,6,1500,50,'majority'
14,3,750,33,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
17,7,1750,58,'minority'
14,3,750,35,'majority'
14,3,750,35,'majority'
16,7,1750,64,'majority'
21,2,500,21,'majority'
16,3,750,35,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
14,2,500,29,'majority'
11,4,1000,74,'majority'
11,2,500,38,'minority'
21,6,1500,48,'majority'
23,2,500,23,'majority'
23,6,1500,45,'majority'
14,2,500,35,'minority'
16,6,1500,81,'majority'
16,4,1000,58,'majority'
16,5,1250,71,'majority'
21,2,500,26,'majority'
21,3,750,35,'majority'
21,3,750,35,'majority'
23,8,2000,69,'majority'
21,3,750,38,'majority'
23,3,750,35,'majority'
21,3,750,40,'majority'
23,2,500,28,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
25,6,1500,50,'majority'
21,1,250,21,'majority'
21,1,250,21,'majority'
23,3,750,39,'majority'
21,2,500,33,'majority'
14,3,750,79,'majority'
23,1,250,23,'minority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,1,250,23,'majority'
23,4,1000,52,'majority'
23,1,250,23,'majority'
23,7,1750,88,'majority'
16,3,750,86,'majority'
23,2,500,38,'majority'
21,2,500,52,'majority'
23,3,750,62,'majority'
39,1,250,39,'majority'
72,1,250,72,'majority'
