@relation aux
@attribute heart_rate numeric
@attribute sleep_state {'1','2','3','4'}
@attribute class {'minority','majority'}
@data
117,'1','minority'
113,'1','minority'
114,'1','minority'
121,'1','minority'
123,'1','minority'
111,'3','minority'
117,'3','minority'
129,'3','minority'
119,'3','minority'
110,'3','minority'
117,'3','minority'
114,'3','minority'
113,'3','minority'
117,'3','minority'
115,'4','minority'
140,'4','minority'
130,'4','minority'
122,'4','minority'
123,'4','minority'
106,'4','minority'
118,'4','minority'
126,'4','minority'
117,'4','minority'
117,'4','minority'
119,'4','minority'
132,'4','minority'
142,'4','minority'
115,'4','minority'
128,'4','minority'
112,'4','minority'
112,'4','minority'
118,'4','minority'
138,'4','minority'
109,'4','minority'
118,'4','minority'
119,'4','minority'
113,'4','minority'
124,'4','minority'
128,'4','minority'
122,'4','minority'
123,'4','minority'
114,'4','minority'
113,'4','minority'
133,'4','minority'
116,'4','minority'
119,'4','minority'
111,'3','minority'
113,'3','minority'
121,'3','minority'
121,'3','minority'
124,'3','minority'
112,'3','minority'
122,'3','minority'
118,'3','minority'
127,'3','minority'
115,'3','minority'
119,'3','minority'
123,'3','minority'
111,'3','minority'
116,'3','minority'
124,'3','minority'
123,'3','minority'
123,'3','minority'
116,'3','minority'
124,'3','minority'
132,'3','minority'
116,'3','minority'
126,'1','minority'
114,'1','minority'
120,'1','minority'
125,'1','minority'
121,'1','minority'
119,'1','minority'
124,'1','minority'
126,'1','minority'
127,'1','minority'
117,'1','minority'
122,'1','minority'
119,'1','minority'
120,'1','minority'
128,'1','minority'
125,'1','minority'
130,'1','minority'
130,'1','minority'
124,'1','minority'
118,'1','minority'
122,'1','minority'
116,'1','minority'
122,'1','minority'
119,'1','minority'
120,'1','minority'
128,'1','minority'
125,'1','minority'
128,'1','minority'
126,'1','minority'
120,'1','minority'
120,'1','minority'
118,'1','minority'
113,'1','minority'
119,'1','minority'
118,'1','minority'
123,'1','minority'
123,'1','minority'
122,'1','minority'
123,'1','minority'
122,'1','minority'
122,'1','minority'
117,'1','minority'
119,'1','minority'
123,'1','minority'
120,'1','minority'
115,'1','minority'
120,'1','minority'
122,'1','minority'
118,'1','minority'
102,'1','minority'
111,'1','minority'
130,'1','minority'
121,'1','minority'
140,'1','minority'
122,'2','minority'
114,'2','minority'
118,'2','minority'
122,'2','minority'
125,'3','minority'
126,'3','minority'
123,'3','minority'
127,'3','minority'
114,'3','minority'
122,'3','minority'
124,'3','minority'
124,'3','minority'
134,'4','minority'
133,'4','minority'
117,'3','minority'
120,'3','minority'
114,'3','minority'
124,'3','minority'
127,'3','minority'
123,'3','minority'
137,'3','minority'
140,'3','minority'
120,'3','minority'
120,'3','minority'
126,'3','minority'
121,'3','minority'
135,'3','minority'
123,'3','minority'
138,'4','minority'
147,'4','minority'
157,'4','minority'
164,'4','minority'
155,'4','minority'
151,'4','minority'
151,'4','minority'
153,'4','minority'
148,'4','minority'
152,'4','minority'
152,'4','minority'
150,'4','minority'
150,'4','minority'
144,'4','minority'
140,'4','minority'
148,'4','minority'
136,'4','minority'
132,'4','minority'
137,'4','minority'
146,'4','minority'
151,'4','minority'
136,'4','minority'
137,'4','minority'
143,'4','minority'
133,'4','minority'
128,'4','minority'
132,'4','minority'
147,'4','minority'
152,'4','minority'
130,'4','minority'
129,'4','minority'
132,'4','minority'
140,'4','minority'
132,'4','minority'
129,'4','minority'
156,'4','majority'
157,'4','majority'
158,'4','majority'
161,'4','majority'
163,'4','majority'
159,'4','majority'
157,'4','majority'
156,'4','majority'
155,'4','majority'
164,'4','majority'
147,'4','majority'
132,'4','majority'
135,'4','majority'
137,'4','majority'
128,'4','majority'
133,'4','majority'
133,'4','majority'
130,'4','majority'
132,'4','majority'
140,'4','majority'
144,'4','majority'
162,'4','majority'
143,'4','majority'
158,'4','majority'
157,'4','majority'
155,'4','majority'
147,'2','majority'
140,'2','majority'
128,'3','majority'
131,'3','majority'
124,'3','majority'
130,'3','majority'
130,'3','majority'
138,'3','majority'
135,'3','majority'
134,'3','majority'
140,'3','majority'
139,'3','majority'
130,'3','majority'
127,'3','majority'
129,'3','majority'
147,'3','majority'
137,'3','majority'
129,'3','majority'
141,'3','majority'
135,'3','majority'
135,'3','majority'
141,'3','majority'
147,'3','majority'
137,'3','majority'
138,'3','majority'
144,'3','majority'
140,'3','majority'
135,'3','majority'
148,'3','majority'
154,'1','majority'
136,'1','majority'
130,'1','majority'
132,'1','majority'
131,'1','majority'
131,'1','majority'
136,'1','majority'
139,'1','majority'
131,'1','majority'
136,'1','majority'
133,'1','majority'
134,'1','majority'
136,'1','majority'
134,'1','majority'
131,'1','majority'
132,'1','majority'
124,'1','majority'
129,'1','majority'
130,'1','majority'
133,'1','majority'
132,'1','majority'
130,'1','majority'
124,'1','majority'
125,'1','majority'
127,'1','majority'
127,'1','majority'
130,'1','majority'
128,'1','majority'
129,'1','majority'
129,'1','majority'
129,'1','majority'
127,'1','majority'
129,'1','majority'
130,'1','majority'
129,'1','majority'
129,'1','majority'
129,'1','majority'
129,'1','majority'
131,'1','majority'
130,'1','majority'
129,'1','majority'
127,'1','majority'
128,'1','majority'
129,'1','majority'
130,'1','majority'
128,'1','majority'
126,'1','minority'
126,'1','minority'
127,'1','minority'
129,'1','minority'
129,'1','minority'
129,'1','minority'
129,'1','minority'
128,'1','minority'
128,'1','minority'
128,'1','minority'
126,'1','minority'
126,'1','minority'
127,'1','minority'
125,'1','minority'
128,'1','minority'
124,'1','minority'
127,'1','minority'
118,'1','minority'
118,'1','minority'
120,'1','minority'
124,'1','minority'
135,'1','minority'
126,'3','minority'
132,'3','minority'
135,'3','minority'
129,'3','minority'
131,'3','minority'
126,'3','minority'
117,'3','minority'
136,'3','minority'
137,'3','minority'
126,'3','minority'
126,'3','minority'
124,'3','minority'
122,'3','minority'
122,'3','minority'
124,'3','minority'
124,'3','minority'
138,'3','minority'
145,'3','minority'
124,'3','minority'
128,'3','minority'
125,'3','minority'
125,'3','minority'
142,'3','minority'
125,'3','minority'
123,'3','minority'
130,'3','minority'
133,'3','minority'
135,'3','minority'
119,'3','minority'
130,'3','minority'
131,'3','minority'
128,'3','minority'
139,'3','minority'
132,'3','minority'
124,'3','minority'
128,'3','minority'
136,'3','minority'
126,'3','minority'
129,'3','minority'
129,'3','minority'
130,'3','minority'
123,'3','minority'
129,'3','minority'
129,'3','minority'
137,'3','minority'
125,'3','minority'
137,'3','minority'
141,'3','minority'
121,'2','minority'
124,'2','minority'
126,'2','minority'
132,'2','minority'
124,'2','minority'
127,'2','minority'
138,'2','minority'
120,'2','minority'
127,'2','minority'
125,'2','minority'
132,'2','minority'
150,'2','minority'
120,'2','minority'
127,'2','minority'
133,'2','minority'
123,'2','minority'
134,'2','minority'
135,'2','minority'
121,'2','minority'
143,'2','minority'
119,'2','minority'
130,'2','minority'
132,'2','minority'
127,'2','minority'
135,'2','minority'
123,'1','minority'
137,'1','minority'
122,'1','minority'
128,'1','minority'
133,'1','minority'
125,'1','minority'
132,'1','minority'
132,'1','minority'
138,'1','minority'
121,'1','minority'
131,'1','minority'
120,'1','minority'
127,'1','minority'
126,'1','minority'
126,'1','minority'
129,'1','minority'
131,'1','minority'
127,'1','minority'
129,'1','minority'
128,'1','minority'
128,'1','minority'
125,'1','minority'
126,'1','minority'
124,'1','minority'
125,'1','minority'
125,'1','minority'
128,'1','minority'
126,'1','minority'
121,'1','minority'
125,'1','minority'
127,'1','minority'
129,'1','minority'
127,'1','minority'
124,'1','minority'
125,'1','minority'
124,'1','minority'
126,'1','minority'
126,'1','minority'
128,'1','minority'
128,'1','minority'
128,'1','minority'
125,'1','minority'
122,'1','minority'
126,'1','minority'
128,'1','minority'
126,'1','minority'
125,'1','minority'
123,'1','minority'
120,'1','minority'
115,'1','minority'
114,'1','minority'
117,'1','minority'
123,'1','minority'
109,'1','minority'
120,'1','minority'
125,'1','minority'
117,'4','minority'
135,'4','minority'
134,'4','minority'
140,'4','minority'
147,'4','minority'
135,'4','minority'
113,'4','minority'
154,'4','minority'
132,'4','minority'
101,'4','minority'
118,'4','minority'
109,'4','minority'
101,'4','minority'
118,'4','minority'
125,'4','minority'
112,'4','minority'
115,'4','minority'
111,'4','minority'
124,'4','minority'
126,'4','minority'
130,'4','minority'
135,'4','majority'
124,'4','minority'
114,'4','minority'
119,'4','majority'
119,'4','minority'
116,'4','majority'
136,'4','majority'
130,'4','majority'
137,'4','majority'
139,'4','majority'
110,'4','majority'
120,'4','majority'
136,'4','majority'
141,'4','majority'
126,'4','majority'
111,'4','majority'
113,'4','minority'
114,'4','majority'
133,'4','majority'
143,'4','majority'
114,'4','majority'
117,'4','majority'
132,'4','majority'
100,'4','majority'
158,'4','majority'
161,'4','majority'
133,'4','majority'
148,'4','majority'
150,'4','majority'
113,'4','majority'
116,'4','majority'
117,'4','majority'
120,'4','majority'
120,'4','majority'
120,'4','majority'
120,'4','majority'
111,'4','majority'
118,'4','majority'
131,'4','majority'
132,'4','majority'
145,'4','majority'
118,'4','majority'
126,'4','majority'
146,'4','majority'
167,'4','majority'
163,'4','majority'
163,'4','majority'
165,'4','majority'
166,'4','majority'
161,'4','majority'
134,'4','majority'
133,'4','majority'
132,'4','majority'
131,'4','majority'
130,'4','majority'
160,'4','majority'
153,'4','majority'
155,'4','majority'
139,'4','majority'
127,'4','majority'
125,'4','majority'
118,'4','majority'
141,'4','majority'
158,'4','majority'
163,'4','majority'
166,'4','majority'
166,'4','majority'
166,'4','majority'
153,'4','majority'
157,'4','majority'
155,'4','majority'
163,'4','majority'
128,'4','majority'
129,'4','majority'
130,'4','majority'
131,'4','majority'
152,'4','majority'
169,'4','majority'
160,'4','majority'
162,'4','majority'
168,'4','majority'
182,'4','majority'
160,'4','majority'
159,'4','majority'
146,'4','majority'
155,'4','majority'
153,'2','majority'
156,'2','majority'
168,'2','majority'
145,'2','majority'
146,'3','majority'
167,'3','majority'
167,'3','majority'
151,'3','majority'
152,'3','majority'
140,'3','majority'
168,'3','majority'
158,'3','majority'
157,'2','majority'
164,'2','majority'
159,'2','majority'
137,'2','majority'
157,'2','majority'
134,'2','majority'
151,'2','majority'
128,'2','majority'
160,'2','majority'
143,'2','majority'
152,'2','majority'
148,'2','majority'
161,'1','majority'
148,'1','majority'
152,'1','majority'
144,'1','majority'
152,'1','majority'
147,'1','majority'
153,'1','majority'
155,'1','majority'
147,'1','majority'
143,'1','majority'
131,'1','majority'
147,'1','majority'
169,'1','majority'
125,'1','majority'
168,'1','majority'
146,'1','majority'
148,'1','majority'
151,'1','minority'
161,'1','minority'
134,'1','minority'
148,'1','minority'
152,'1','minority'
158,'1','minority'
146,'1','minority'
165,'1','minority'
146,'1','minority'
153,'1','minority'
160,'1','minority'
162,'1','minority'
140,'1','minority'
156,'1','minority'
148,'1','minority'
150,'1','minority'
151,'1','minority'
155,'1','minority'
157,'1','minority'
152,'1','minority'
162,'1','minority'
161,'1','minority'
151,'1','minority'
169,'1','minority'
155,'1','minority'
150,'1','minority'
147,'1','minority'
153,'1','minority'
187,'1','minority'
144,'1','minority'
136,'1','minority'
140,'1','minority'
148,'1','minority'
154,'1','minority'
144,'1','minority'
151,'1','minority'
148,'1','minority'
164,'1','minority'
153,'1','minority'
163,'1','minority'
138,'1','minority'
140,'1','minority'
169,'1','minority'
150,'1','minority'
151,'3','minority'
160,'3','minority'
146,'3','minority'
150,'3','minority'
164,'3','minority'
166,'3','majority'
144,'3','majority'
158,'3','majority'
159,'3','majority'
161,'3','majority'
151,'3','majority'
170,'3','majority'
163,'3','majority'
136,'3','majority'
150,'3','majority'
150,'3','majority'
140,'3','majority'
156,'3','majority'
142,'3','majority'
155,'3','majority'
151,'3','majority'
153,'3','majority'
161,'3','majority'
156,'3','majority'
145,'3','majority'
160,'3','majority'
146,'3','majority'
146,'3','majority'
166,'3','majority'
150,'3','majority'
162,'3','majority'
150,'3','majority'
157,'3','majority'
141,'3','majority'
156,'3','majority'
174,'3','majority'
163,'3','majority'
162,'3','majority'
171,'3','majority'
163,'3','majority'
166,'3','majority'
156,'3','majority'
171,'3','majority'
165,'3','majority'
140,'3','majority'
165,'2','majority'
161,'2','majority'
159,'2','majority'
156,'2','majority'
131,'2','majority'
153,'2','majority'
152,'2','majority'
156,'2','majority'
149,'2','majority'
148,'2','majority'
172,'2','majority'
176,'2','majority'
181,'3','majority'
140,'3','majority'
133,'3','majority'
144,'3','majority'
154,'3','majority'
131,'3','majority'
148,'3','majority'
159,'3','majority'
165,'3','majority'
157,'3','majority'
171,'3','majority'
164,'3','majority'
172,'4','majority'
163,'4','majority'
166,'4','majority'
170,'4','majority'
166,'4','majority'
162,'4','majority'
145,'4','majority'
140,'4','majority'
152,'4','majority'
125,'4','majority'
141,'4','majority'
163,'4','majority'
143,'2','majority'
141,'2','majority'
153,'2','majority'
142,'2','majority'
142,'2','majority'
143,'2','majority'
149,'2','majority'
140,'1','majority'
154,'1','majority'
138,'1','majority'
144,'1','majority'
147,'1','majority'
143,'1','majority'
138,'1','majority'
140,'1','majority'
141,'1','majority'
144,'1','majority'
148,'1','majority'
158,'1','majority'
161,'1','majority'
125,'1','majority'
138,'1','majority'
114,'1','majority'
126,'1','majority'
134,'1','majority'
132,'1','majority'
143,'1','majority'
106,'1','majority'
141,'1','majority'
143,'1','majority'
128,'1','majority'
117,'1','majority'
127,'1','majority'
130,'1','majority'
126,'1','majority'
129,'1','majority'
117,'1','majority'
139,'1','majority'
126,'1','majority'
138,'1','majority'
128,'1','majority'
142,'1','majority'
146,'1','majority'
107,'1','majority'
126,'1','majority'
152,'1','majority'
131,'1','majority'
127,'1','majority'
129,'1','majority'
126,'1','majority'
131,'1','majority'
128,'1','majority'
130,'1','majority'
132,'1','majority'
141,'1','majority'
135,'1','majority'
153,'1','majority'
161,'1','majority'
151,'1','majority'
140,'1','majority'
148,'4','majority'
157,'4','majority'
131,'4','majority'
148,'4','majority'
152,'4','majority'
177,'4','majority'
164,'4','majority'
180,'4','majority'
174,'4','majority'
153,'4','majority'
175,'4','majority'
161,'4','majority'
