@relation aux
@attribute WMC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NPM numeric
@attribute LOC numeric
@attribute class {'majority','minority'}
@data
9,1,5,12,21,77,9,101,'majority'
17,1,0,31,29,80,15,451,'majority'
6,1,0,34,18,70,2,284,'minority'
4,1,0,8,16,12,3,63,'minority'
5,1,0,31,17,30,3,123,'minority'
7,2,0,13,32,71,7,97,'majority'
20,5,0,36,654,77,15,443,'majority'
14,5,0,34,840,78,12,372,'majority'
45,5,0,63,679,94,34,1211,'majority'
6,7,0,34,661,66,5,409,'majority'
6,7,0,21,790,33,3,219,'majority'
12,2,0,13,40,54,10,172,'majority'
16,5,0,31,650,74,15,397,'majority'
4,5,0,22,698,50,2,201,'majority'
7,2,0,12,23,50,2,245,'minority'
7,6,0,21,685,77,5,195,'minority'
2,1,1,2,2,0,0,5,'minority'
12,2,0,13,37,79,8,104,'minority'
4,2,0,9,74,41,4,90,'majority'
1,2,0,4,25,0,1,10,'minority'
20,1,0,26,32,77,19,217,'minority'
10,1,0,34,22,66,6,341,'majority'
4,1,0,6,16,50,3,43,'minority'
60,6,0,72,687,95,46,1061,'majority'
23,1,0,25,35,89,20,576,'majority'
6,5,0,30,640,63,0,306,'majority'
2,5,0,20,636,37,1,216,'minority'
9,6,0,39,636,80,8,277,'majority'
10,1,0,23,22,63,7,272,'minority'
8,1,0,22,20,12,7,168,'majority'
6,1,0,13,18,16,0,119,'minority'
16,1,2,6,28,78,9,490,'majority'
239,4,0,75,862,96,214,4600,'majority'
37,4,0,30,660,92,36,602,'majority'
31,1,0,31,43,83,14,1389,'majority'
2,0,1,2,2,0,0,149,'minority'
2,1,1,1,2,0,0,5,'minority'
2,1,0,4,14,0,0,23,'minority'
26,1,0,19,38,75,0,504,'majority'
51,4,0,35,674,95,48,634,'majority'
4,1,7,2,16,0,4,28,'minority'
0,1,0,1,12,0,0,25,'majority'
4,2,0,3,23,81,4,26,'majority'
4,2,0,3,23,70,4,31,'minority'
5,2,0,4,24,90,5,40,'minority'
1,2,0,1,20,0,1,7,'minority'
3,2,0,2,22,0,3,19,'minority'
3,2,0,1,22,0,3,17,'minority'
5,2,0,3,24,80,5,34,'minority'
1,2,0,1,20,0,1,7,'minority'
1,2,0,1,20,0,1,7,'minority'
1,2,0,1,20,0,1,7,'minority'
2,2,0,1,21,0,2,11,'minority'
4,2,0,3,23,81,4,26,'majority'
3,6,0,5,652,33,3,102,'minority'
6,8,0,5,678,83,4,55,'minority'
7,6,0,28,656,71,1,277,'majority'
3,6,0,5,652,33,2,80,'majority'
3,6,0,8,652,33,3,73,'majority'
3,6,0,10,652,33,3,149,'majority'
3,6,0,7,652,33,1,62,'minority'
3,6,0,12,652,42,1,115,'minority'
3,6,0,12,652,33,3,125,'minority'
4,6,0,6,653,28,1,165,'minority'
3,6,0,11,652,33,1,176,'majority'
6,6,0,36,655,66,1,238,'minority'
4,6,0,26,653,52,1,281,'minority'
5,6,0,12,654,80,1,56,'majority'
3,6,0,18,652,48,1,178,'minority'
5,6,0,22,654,60,1,135,'minority'
4,6,0,18,653,40,1,148,'minority'
4,6,0,21,653,50,1,179,'minority'
6,8,0,10,678,66,4,86,'minority'
5,6,0,11,654,70,3,63,'majority'
6,6,0,16,655,40,1,332,'minority'
1,0,16,1,1,0,0,4,'majority'
15,1,0,9,27,66,2,123,'minority'
124,1,0,125,136,95,91,2467,'majority'
51,1,0,40,63,98,49,955,'majority'
29,1,1,52,41,84,17,1045,'majority'
2,1,0,13,14,0,1,49,'majority'
4,1,0,22,16,50,4,251,'majority'
14,2,0,18,45,64,13,288,'majority'
9,5,0,30,594,81,3,436,'minority'
9,6,0,14,636,83,9,105,'majority'
2,1,0,4,14,33,2,204,'majority'
17,7,2,38,672,83,10,513,'minority'
12,6,0,27,662,86,7,353,'majority'
5,7,0,28,660,56,4,117,'minority'
3,7,0,27,658,40,3,238,'majority'
11,2,0,17,30,76,11,200,'majority'
4,4,0,13,627,33,3,52,'minority'
3,6,0,5,745,0,3,127,'minority'
5,7,0,21,660,75,4,167,'minority'
1,0,4,0,1,0,0,4,'minority'
12,5,0,33,646,80,12,572,'majority'
9,2,0,4,46,70,9,68,'minority'
6,7,0,26,661,66,3,302,'minority'
6,6,0,19,656,66,4,108,'minority'
1,6,0,16,651,0,1,86,'minority'
7,7,1,22,662,0,6,75,'minority'
6,5,0,29,640,64,3,425,'majority'
7,1,0,18,19,60,7,322,'majority'
4,5,0,12,638,50,3,129,'minority'
8,6,1,13,750,75,8,101,'majority'
33,5,0,48,667,85,28,1311,'majority'
6,5,0,24,640,66,5,184,'minority'
10,5,0,13,836,80,9,143,'majority'
23,6,2,22,784,82,15,373,'majority'
5,0,2,1,5,0,0,8,'minority'
2,5,0,5,704,25,2,50,'minority'
5,1,0,6,17,50,3,65,'minority'
6,7,0,28,661,60,3,164,'majority'
19,1,1,17,31,77,17,204,'majority'
2,8,0,3,664,0,2,11,'minority'
4,7,0,27,659,70,3,96,'minority'
3,7,0,22,658,66,3,114,'majority'
14,1,0,31,26,76,10,850,'majority'
4,4,0,18,627,44,4,72,'minority'
16,1,0,8,28,82,14,181,'minority'
5,6,18,5,655,80,4,105,'minority'
2,7,0,6,752,50,2,55,'minority'
3,7,0,13,658,66,3,158,'minority'
8,5,0,12,642,50,8,165,'minority'
7,6,0,7,749,42,5,89,'minority'
8,2,0,25,78,70,4,206,'majority'
4,2,0,1,34,0,3,30,'minority'
10,1,0,13,22,78,6,310,'majority'
6,1,0,1,18,11,6,39,'minority'
13,2,0,9,83,75,11,143,'majority'
8,1,0,5,20,66,5,106,'minority'
4,1,5,3,16,0,4,27,'minority'
2,1,3,1,2,0,0,5,'minority'
17,1,0,16,29,82,9,290,'majority'
8,1,0,1,20,50,8,43,'minority'
13,1,12,3,25,0,13,56,'minority'
117,1,0,16,129,96,27,2373,'minority'
13,0,1,2,13,0,13,28,'minority'
5,3,0,1,42,60,5,30,'minority'
3,1,0,11,15,75,1,62,'minority'
