@relation aux
@attribute Automatic {'CA','H','MA','N','OA'}
@attribute Scorer_2 {'CA','H','MA','N','OA'}
@attribute Subject numeric
@attribute class {'majority','minority'}
@data
'MA','CA',13,'majority'
'CA','CA',13,'majority'
'N','N',14,'minority'
'H','N',14,'minority'
'OA','N',14,'majority'
'MA','N',14,'majority'
'CA','N',14,'minority'
'N','H',14,'majority'
'H','H',14,'minority'
'OA','H',14,'majority'
'MA','H',14,'majority'
'CA','H',14,'majority'
'N','OA',14,'majority'
'H','OA',14,'majority'
'OA','OA',14,'majority'
'MA','OA',14,'majority'
'CA','OA',14,'majority'
'N','MA',14,'majority'
'H','MA',14,'majority'
'OA','MA',14,'majority'
'MA','MA',14,'majority'
'CA','MA',14,'majority'
'N','CA',14,'minority'
'H','CA',14,'minority'
'OA','CA',14,'majority'
'MA','CA',14,'majority'
'CA','CA',14,'minority'
'N','N',15,'minority'
'H','N',15,'majority'
'OA','N',15,'majority'
'MA','N',15,'majority'
'CA','N',15,'majority'
'N','H',15,'majority'
'H','H',15,'majority'
'OA','H',15,'majority'
'MA','H',15,'majority'
'CA','H',15,'majority'
'N','OA',15,'majority'
'H','OA',15,'majority'
'OA','OA',15,'majority'
'MA','OA',15,'majority'
'CA','OA',15,'majority'
'N','MA',15,'majority'
'H','MA',15,'majority'
'OA','MA',15,'majority'
'MA','MA',15,'majority'
'CA','MA',15,'majority'
'N','CA',15,'majority'
'H','CA',15,'majority'
'OA','CA',15,'majority'
'MA','CA',15,'majority'
'CA','CA',15,'majority'
'N','N',16,'minority'
'H','N',16,'majority'
'OA','N',16,'majority'
'MA','N',16,'majority'
'CA','N',16,'majority'
'N','H',16,'majority'
'H','H',16,'majority'
'OA','H',16,'majority'
'MA','H',16,'majority'
'CA','H',16,'majority'
'N','OA',16,'majority'
'H','OA',16,'majority'
'OA','OA',16,'majority'
'MA','OA',16,'majority'
'CA','OA',16,'majority'
'N','MA',16,'majority'
'H','MA',16,'majority'
'OA','MA',16,'majority'
'MA','MA',16,'majority'
'CA','MA',16,'majority'
'N','CA',16,'minority'
'H','CA',16,'majority'
'OA','CA',16,'majority'
'MA','CA',16,'majority'
'CA','CA',16,'minority'
'N','N',17,'minority'
'H','N',17,'majority'
'OA','N',17,'majority'
'MA','N',17,'majority'
'CA','N',17,'majority'
'N','H',17,'majority'
'H','H',17,'majority'
'OA','H',17,'majority'
'MA','H',17,'majority'
'CA','H',17,'majority'
'N','OA',17,'majority'
'H','OA',17,'majority'
'OA','OA',17,'majority'
'MA','OA',17,'majority'
'CA','OA',17,'majority'
'N','MA',17,'majority'
'H','MA',17,'majority'
'OA','MA',17,'majority'
'MA','MA',17,'majority'
'CA','MA',17,'majority'
'N','CA',17,'minority'
'H','CA',17,'majority'
'OA','CA',17,'majority'
'MA','CA',17,'majority'
'CA','CA',17,'minority'
'N','N',18,'minority'
'H','N',18,'majority'
'OA','N',18,'majority'
'MA','N',18,'majority'
'CA','N',18,'majority'
'N','H',18,'majority'
'H','H',18,'majority'
'OA','H',18,'majority'
'MA','H',18,'majority'
'CA','H',18,'majority'
'N','OA',18,'majority'
'H','OA',18,'majority'
'OA','OA',18,'majority'
'MA','OA',18,'majority'
'CA','OA',18,'majority'
'N','MA',18,'majority'
'H','MA',18,'majority'
'OA','MA',18,'majority'
'MA','MA',18,'majority'
'CA','MA',18,'majority'
'N','CA',18,'majority'
'H','CA',18,'majority'
'OA','CA',18,'majority'
'MA','CA',18,'majority'
'CA','CA',18,'majority'
