@relation aux
@attribute Age_of_patient_at_time_of_operation numeric
@attribute Patients_year_of_operation {'58','59','60','61','62','63','64','65','66','67','68','69'}
@attribute Number_of_positive_axillary_nodes_detected numeric
@attribute class {'majority','minority'}
@data
45,'65',6,'minority'
45,'66',0,'minority'
45,'67',1,'minority'
45,'60',0,'majority'
45,'67',0,'majority'
45,'59',14,'majority'
45,'64',0,'majority'
45,'68',0,'majority'
45,'67',1,'majority'
46,'58',2,'minority'
46,'69',3,'minority'
46,'62',5,'minority'
46,'65',20,'minority'
46,'62',0,'majority'
46,'58',3,'majority'
46,'63',0,'majority'
47,'63',23,'minority'
47,'62',0,'minority'
47,'65',0,'minority'
47,'61',0,'majority'
47,'63',6,'majority'
47,'66',0,'majority'
47,'67',0,'majority'
47,'58',3,'majority'
47,'60',4,'majority'
47,'68',4,'majority'
47,'66',12,'majority'
48,'58',11,'minority'
48,'58',11,'minority'
48,'67',7,'minority'
48,'61',8,'majority'
48,'62',2,'majority'
48,'64',0,'majority'
48,'66',0,'majority'
49,'63',0,'minority'
49,'64',10,'minority'
49,'61',1,'majority'
49,'62',0,'majority'
49,'66',0,'majority'
49,'60',1,'majority'
49,'62',1,'majority'
49,'63',3,'majority'
49,'61',0,'majority'
49,'67',1,'majority'
50,'63',13,'minority'
50,'64',0,'minority'
50,'59',0,'majority'
50,'61',6,'majority'
50,'61',0,'majority'
50,'63',1,'majority'
50,'58',1,'majority'
50,'59',2,'majority'
50,'61',0,'majority'
50,'64',0,'majority'
50,'65',4,'majority'
50,'66',1,'majority'
51,'59',13,'minority'
51,'59',3,'minority'
51,'64',7,'majority'
51,'59',1,'majority'
51,'65',0,'majority'
51,'66',1,'majority'
52,'69',3,'minority'
52,'59',2,'minority'
52,'62',3,'minority'
52,'66',4,'minority'
52,'61',0,'majority'
52,'63',4,'majority'
52,'69',0,'majority'
52,'60',4,'majority'
52,'60',5,'majority'
52,'62',0,'majority'
52,'62',1,'majority'
52,'64',0,'majority'
52,'65',0,'majority'
52,'68',0,'majority'
53,'58',4,'minority'
53,'65',1,'minority'
53,'59',3,'minority'
53,'60',9,'minority'
53,'63',24,'minority'
53,'65',12,'minority'
53,'58',1,'majority'
53,'60',1,'majority'
53,'60',2,'majority'
53,'61',1,'majority'
53,'63',0,'majority'
54,'60',11,'minority'
54,'65',23,'minority'
54,'65',5,'minority'
54,'68',7,'minority'
54,'59',7,'majority'
54,'60',3,'majority'
54,'66',0,'majority'
54,'67',46,'majority'
54,'62',0,'majority'
54,'69',7,'majority'
54,'63',19,'majority'
54,'58',1,'majority'
54,'62',0,'majority'
55,'63',6,'minority'
55,'68',15,'minority'
55,'58',1,'majority'
55,'58',0,'majority'
55,'58',1,'majority'
55,'66',18,'majority'
55,'66',0,'majority'
55,'69',3,'majority'
55,'69',22,'majority'
55,'67',1,'majority'
56,'65',9,'minority'
56,'66',3,'minority'
56,'60',0,'majority'
56,'66',2,'majority'
56,'66',1,'majority'
56,'67',0,'majority'
56,'60',0,'majority'
57,'61',5,'minority'
57,'62',14,'minority'
57,'64',1,'minority'
57,'64',9,'majority'
57,'69',0,'majority'
57,'61',0,'majority'
57,'62',0,'majority'
57,'63',0,'majority'
57,'64',0,'majority'
57,'64',0,'majority'
57,'67',0,'majority'
58,'59',0,'majority'
58,'60',3,'majority'
58,'61',1,'majority'
58,'67',0,'majority'
58,'58',0,'majority'
58,'58',3,'majority'
58,'61',2,'majority'
59,'62',35,'minority'
59,'60',0,'majority'
59,'63',0,'majority'
59,'64',1,'majority'
59,'64',4,'majority'
59,'64',0,'majority'
59,'64',7,'majority'
59,'67',3,'majority'
60,'59',17,'minority'
60,'65',0,'minority'
60,'61',1,'majority'
60,'67',2,'majority'
60,'61',25,'majority'
60,'64',0,'majority'
61,'62',5,'minority'
61,'65',0,'minority'
61,'68',1,'minority'
61,'59',0,'majority'
61,'59',0,'majority'
61,'64',0,'majority'
61,'65',8,'majority'
61,'68',0,'majority'
61,'59',0,'majority'
62,'59',13,'minority'
62,'58',0,'minority'
62,'65',19,'minority'
62,'62',6,'majority'
62,'66',0,'majority'
62,'66',0,'majority'
62,'58',0,'majority'
63,'60',1,'minority'
63,'61',0,'majority'
63,'62',0,'majority'
63,'63',0,'majority'
63,'63',0,'majority'
63,'66',0,'majority'
63,'61',9,'majority'
63,'61',28,'majority'
64,'58',0,'majority'
64,'65',22,'majority'
64,'66',0,'majority'
64,'61',0,'majority'
64,'68',0,'majority'
65,'58',0,'minority'
65,'61',2,'minority'
65,'62',22,'minority'
65,'66',15,'minority'
65,'58',0,'majority'
65,'64',0,'majority'
65,'67',0,'majority'
65,'59',2,'majority'
65,'64',0,'majority'
65,'67',1,'majority'
66,'58',0,'minority'
66,'61',13,'minority'
66,'58',0,'majority'
66,'58',1,'majority'
66,'68',0,'majority'
67,'64',8,'minority'
67,'63',1,'minority'
67,'66',0,'majority'
67,'66',0,'majority'
67,'61',0,'majority'
67,'65',0,'majority'
68,'67',0,'majority'
68,'68',0,'majority'
69,'67',8,'minority'
69,'60',0,'majority'
69,'65',0,'majority'
69,'66',0,'majority'
70,'58',0,'minority'
70,'58',4,'minority'
70,'66',14,'majority'
70,'67',0,'majority'
70,'68',0,'majority'
70,'59',8,'majority'
70,'63',0,'majority'
71,'68',2,'majority'
72,'63',0,'minority'
72,'58',0,'majority'
72,'64',0,'majority'
72,'67',3,'majority'
73,'62',0,'majority'
73,'68',0,'majority'
74,'65',3,'minority'
74,'63',0,'majority'
75,'62',1,'majority'
76,'67',0,'majority'
77,'65',3,'majority'
78,'65',1,'minority'
83,'58',2,'minority'
