@relation aux
@attribute group {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36','37','38','39','40','41','42','43'}
@attribute conc numeric
@attribute age numeric
@attribute at.risk numeric
@attribute class {'majority','minority'}
@data
'25',350,42.5,385,'majority'
'25',350,47.5,390,'majority'
'25',350,52.5,292,'majority'
'25',350,57.5,262,'majority'
'25',350,62.5,243,'majority'
'25',350,67.5,236,'majority'
'25',350,72.5,102,'majority'
'25',350,77.5,68,'majority'
'25',350,82.5,47,'majority'
'26',398,22.5,538,'majority'
'26',398,27.5,272,'majority'
'26',398,32.5,211,'majority'
'26',398,37.5,232,'majority'
'26',398,42.5,274,'majority'
'26',398,47.5,321,'majority'
'26',398,52.5,292,'majority'
'26',398,57.5,175,'majority'
'26',398,62.5,153,'majority'
'26',398,67.5,122,'majority'
'26',398,72.5,96,'majority'
'26',398,77.5,23,'majority'
'26',398,82.5,14,'majority'
'27',406,22.5,770,'majority'
'27',406,27.5,315,'majority'
'27',406,32.5,239,'majority'
'27',406,37.5,355,'majority'
'27',406,42.5,412,'majority'
'27',406,47.5,420,'majority'
'27',406,52.5,367,'majority'
'27',406,57.5,331,'majority'
'27',406,62.5,284,'majority'
'27',406,67.5,209,'majority'
'27',406,72.5,114,'majority'
'27',406,77.5,47,'majority'
'27',406,82.5,23,'majority'
'28',448,22.5,1043,'majority'
'28',448,27.5,457,'majority'
'28',448,32.5,241,'majority'
'28',448,37.5,331,'majority'
'28',448,42.5,404,'majority'
'28',448,47.5,423,'majority'
'28',448,52.5,387,'majority'
'28',448,57.5,312,'majority'
'28',448,62.5,252,'majority'
'28',448,67.5,202,'majority'
'28',448,72.5,130,'majority'
'28',448,77.5,49,'majority'
'28',448,82.5,28,'majority'
'29',467,22.5,1114,'majority'
'29',467,27.5,720,'majority'
'29',467,32.5,632,'majority'
'29',467,37.5,566,'majority'
'29',467,42.5,523,'majority'
'29',467,47.5,487,'majority'
'29',467,52.5,447,'majority'
'29',467,57.5,315,'majority'
'29',467,62.5,212,'majority'
'29',467,67.5,133,'majority'
'29',467,72.5,72,'majority'
'29',467,77.5,45,'majority'
'29',467,82.5,32,'majority'
'30',504,22.5,1029,'majority'
'30',504,27.5,406,'majority'
'30',504,32.5,384,'majority'
'30',504,37.5,499,'majority'
'30',504,42.5,654,'majority'
'30',504,47.5,585,'majority'
'30',504,52.5,460,'majority'
'30',504,57.5,397,'majority'
'30',504,62.5,330,'majority'
'30',504,67.5,235,'majority'
'30',504,72.5,171,'majority'
'30',504,77.5,152,'majority'
'30',504,82.5,95,'majority'
'31',520,22.5,905,'majority'
'31',520,27.5,364,'majority'
'31',520,32.5,263,'majority'
'31',520,37.5,342,'majority'
'31',520,42.5,442,'majority'
'31',520,47.5,497,'majority'
'31',520,52.5,444,'majority'
'31',520,57.5,344,'majority'
'31',520,62.5,276,'majority'
'31',520,67.5,193,'majority'
'31',520,72.5,130,'majority'
'31',520,77.5,68,'majority'
'31',520,82.5,45,'majority'
'32',520,22.5,841,'majority'
'32',520,27.5,541,'majority'
'32',520,32.5,401,'majority'
'32',520,37.5,321,'majority'
'32',520,42.5,440,'majority'
'32',520,47.5,420,'majority'
'32',520,52.5,391,'majority'
'32',520,57.5,315,'majority'
'32',520,62.5,293,'majority'
'32',520,67.5,174,'minority'
'32',520,72.5,134,'majority'
'32',520,77.5,78,'majority'
'32',520,82.5,83,'majority'
'33',529,22.5,1971,'majority'
'33',529,27.5,842,'majority'
'33',529,32.5,693,'majority'
'33',529,37.5,840,'majority'
'33',529,42.5,899,'majority'
'33',529,47.5,934,'majority'
'33',529,52.5,705,'majority'
'33',529,57.5,535,'majority'
'33',529,62.5,448,'majority'
'33',529,67.5,361,'majority'
'33',529,72.5,261,'minority'
'33',529,77.5,138,'majority'
'33',529,82.5,62,'majority'
'34',538,22.5,851,'majority'
'34',538,27.5,383,'majority'
'34',538,32.5,318,'majority'
'34',538,37.5,330,'majority'
'34',538,42.5,306,'majority'
'34',538,47.5,328,'majority'
'34',538,52.5,328,'majority'
'34',538,57.5,297,'majority'
'34',538,62.5,230,'majority'
'34',538,67.5,121,'majority'
'34',538,72.5,87,'majority'
'34',538,77.5,52,'majority'
'34',538,82.5,36,'majority'
'35',544,22.5,719,'majority'
'35',544,27.5,338,'majority'
'35',544,32.5,194,'majority'
'35',544,37.5,228,'majority'
'35',544,42.5,328,'majority'
'35',544,47.5,340,'majority'
'35',544,52.5,304,'majority'
'35',544,57.5,260,'majority'
'35',544,62.5,209,'majority'
'35',544,67.5,146,'majority'
'35',544,72.5,136,'majority'
'35',544,77.5,104,'majority'
'35',544,82.5,107,'majority'
'36',599,22.5,1351,'majority'
'36',599,27.5,930,'majority'
'36',599,32.5,776,'majority'
'36',599,37.5,746,'majority'
'36',599,42.5,885,'majority'
'36',599,47.5,701,'majority'
'36',599,52.5,632,'minority'
'36',599,57.5,609,'majority'
'36',599,62.5,412,'majority'
'36',599,67.5,383,'majority'
'36',599,72.5,253,'majority'
'36',599,77.5,214,'majority'
'36',599,82.5,85,'majority'
'37',650,22.5,408,'majority'
'37',650,27.5,215,'majority'
'37',650,32.5,133,'majority'
'37',650,37.5,157,'majority'
'37',650,42.5,220,'majority'
'37',650,47.5,261,'majority'
'37',650,52.5,222,'majority'
'37',650,57.5,156,'majority'
'37',650,62.5,104,'majority'
'37',650,67.5,82,'majority'
'37',650,72.5,74,'majority'
'37',650,77.5,51,'majority'
'37',650,82.5,25,'majority'
'38',683,22.5,674,'majority'
'38',683,27.5,276,'majority'
'38',683,32.5,199,'majority'
'38',683,37.5,278,'majority'
'38',683,42.5,335,'majority'
'38',683,47.5,351,'majority'
'38',683,52.5,301,'majority'
'38',683,57.5,214,'majority'
'38',683,62.5,162,'majority'
'38',683,67.5,102,'majority'
'38',683,72.5,45,'majority'
'38',683,77.5,19,'majority'
'38',683,82.5,27,'majority'
'39',693,22.5,2378,'majority'
'39',693,27.5,1562,'majority'
'39',693,32.5,1415,'majority'
'39',693,37.5,1063,'majority'
'39',693,42.5,1059,'majority'
'39',693,47.5,1118,'majority'
'39',693,52.5,893,'majority'
'39',693,57.5,687,'majority'
'39',693,62.5,455,'majority'
'39',693,67.5,352,'majority'
'39',693,72.5,177,'majority'
'39',693,77.5,45,'majority'
'39',693,82.5,59,'majority'
'40',694,22.5,1197,'majority'
'40',694,27.5,531,'majority'
'40',694,32.5,467,'majority'
'40',694,37.5,620,'majority'
'40',694,42.5,720,'majority'
'40',694,47.5,654,'majority'
'40',694,52.5,509,'majority'
'40',694,57.5,386,'majority'
'40',694,62.5,293,'majority'
'40',694,67.5,177,'majority'
'40',694,72.5,89,'majority'
'40',694,77.5,60,'majority'
'40',694,82.5,17,'majority'
'41',698,22.5,798,'majority'
'41',698,27.5,385,'majority'
'41',698,32.5,279,'majority'
'41',698,37.5,351,'majority'
'41',698,42.5,434,'majority'
'41',698,47.5,398,'majority'
'41',698,52.5,355,'majority'
'41',698,57.5,272,'majority'
'41',698,62.5,175,'majority'
'41',698,67.5,84,'majority'
'41',698,72.5,26,'majority'
'41',698,77.5,9,'majority'
'41',698,82.5,10,'majority'
'42',717,22.5,1126,'majority'
'42',717,27.5,590,'majority'
'42',717,32.5,379,'majority'
'42',717,37.5,384,'majority'
'42',717,42.5,488,'majority'
'42',717,47.5,517,'majority'
'42',717,52.5,434,'majority'
'42',717,57.5,312,'majority'
'42',717,62.5,210,'majority'
'42',717,67.5,168,'majority'
'42',717,72.5,131,'majority'
'42',717,77.5,98,'majority'
'42',717,82.5,40,'majority'
'43',934,22.5,1861,'majority'
'43',934,27.5,987,'majority'
'43',934,32.5,928,'majority'
'43',934,37.5,759,'majority'
'43',934,42.5,758,'majority'
'43',934,47.5,815,'majority'
'43',934,52.5,798,'majority'
'43',934,57.5,544,'minority'
'43',934,62.5,401,'minority'
'43',934,67.5,236,'majority'
'43',934,72.5,126,'majority'
'43',934,77.5,70,'majority'
'43',934,82.5,59,'majority'
