@relation aux
@attribute focal_depth numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute class {'majority','minority'}
@data
21,31,-41.53,'majority'
50,53.89,160.68,'minority'
122,-7.28,129.16,'majority'
101,-6.21,130.39,'minority'
41,51.32,-179.67,'majority'
19,-9.61,159.77,'majority'
118,-6.39,146.31,'majority'
58,17.35,-100.04,'majority'
38,58.35,-153.13,'minority'
121,50.04,155.38,'majority'
29,20.73,146.29,'majority'
0,49.77,78.1,'minority'
35,-17.66,167.96,'minority'
7,-32.2,78.93,'minority'
59,-5.41,151.57,'minority'
53,48.29,154.36,'majority'
50,31.49,80.5,'minority'
17,1.85,126.4,'majority'
42,24.24,122.67,'minority'
627,-21.08,-179.15,'majority'
34,0.81,29.9,'minority'
0,49.72,78.07,'minority'
28,37.49,115.06,'majority'
40,23.86,122.97,'minority'
61,23.72,142.18,'majority'
61,51.24,157.76,'minority'
23,57.37,-152.27,'majority'
27,-0.78,122.22,'minority'
75,-0.52,122.21,'majority'
33,-52.77,160.17,'minority'
22,-23.4,-174.72,'majority'
214,36.43,71.12,'minority'
37,11.26,139.57,'minority'
242,-12.23,167.02,'minority'
34,-10.43,160.89,'minority'
20,-10.15,161.01,'minority'
523,-7.21,124.69,'minority'
33,29.62,80.83,'minority'
36,29.71,80.89,'minority'
102,24.86,122.56,'minority'
16,51.99,179.95,'majority'
29,50.57,-171.22,'minority'
59,-0.1,125.01,'minority'
11,-0.05,125.06,'minority'
26,39.17,41.56,'majority'
39,8.48,126.62,'majority'
90,2.34,128.4,'minority'
17,-23,170.6,'majority'
27,-60.33,-27.25,'majority'
39,27.87,54.3,'majority'
165,-21.59,170.56,'minority'
35,-60.44,-26.44,'majority'
38,-10.74,-78.63,'minority'
42,-1.52,-15.37,'minority'
0,73.4,54.57,'minority'
44,22.11,145.9,'minority'
1,38.9,21.1,'majority'
110,-31.95,-68.4,'majority'
16,41.68,144.26,'majority'
136,-14.03,167.04,'minority'
0,49.92,77.76,'majority'
571,-26.06,-63.1,'majority'
46,-7.11,148.31,'minority'
23,-25.51,-70.74,'minority'
23,-15.16,-173.64,'majority'
24,48.22,102.9,'minority'
39,38.33,142.2,'majority'
5,56.68,120.95,'minority'
33,-14.83,-178.75,'minority'
21,48.08,103.02,'minority'
42,52.4,-169.54,'minority'
1,24,-65.7,'minority'
36,2.93,-74.83,'minority'
598,-9.05,-71.34,'minority'
21,-23.79,-175.14,'minority'
88,-9.12,113.04,'majority'
105,-0.09,123.95,'majority'
126,-0.13,123.95,'majority'
0,49.79,78.14,'minority'
122,-0.16,-78.6,'majority'
60,39.25,24.6,'minority'
38,-10.64,166.29,'majority'
50,-10.75,166.34,'majority'
48,-10.77,166.25,'majority'
33,-40.12,-74.68,'majority'
80,-6.73,129.84,'minority'
38,45.53,151.11,'majority'
606,-6.01,112.33,'majority'
33,-11.14,115.36,'minority'
36,45.56,151.62,'majority'
12,20,147.27,'majority'
63,5.16,96.31,'minority'
51,27.32,128.66,'majority'
48,51.47,-178.32,'minority'
109,-20.25,-68.83,'majority'
184,-0.96,101.39,'minority'
11,51.86,176.09,'majority'
39,-15.33,-173.48,'majority'
136,-58.36,-26.83,'majority'
44,52.76,-166.9,'majority'
28,-25.18,-70.54,'majority'
38,54.44,-157.94,'minority'
49,52.58,-168.13,'majority'
33,40.67,30.69,'minority'
160,6.84,-73.09,'majority'
367,35.43,135.49,'minority'
60,10.36,125.87,'minority'
40,3.72,95.74,'minority'
33,-60.84,-24.33,'minority'
78,12.18,140.8,'minority'
24,31.61,100.26,'minority'
29,-10.59,-79.67,'minority'
577,-27.62,-63.15,'majority'
19,27.42,91.86,'majority'
85,42.92,145.33,'majority'
34,-57.82,-23.54,'minority'
34,-49.57,163.93,'majority'
126,-20.78,169.85,'majority'
0,19.5,-60,'majority'
20,-6.59,153.47,'majority'
44,-5.66,153.92,'majority'
605,-21.1,-179.18,'minority'
60,-7.15,129.83,'minority'
181,11.91,-85.98,'minority'
0,73.4,54.42,'majority'
73,24.43,122.25,'minority'
0,-7.02,30.9,'minority'
35,-28.78,-71.19,'majority'
28,14.48,51.98,'majority'
21,41.41,20.44,'majority'
144,49.45,154.4,'majority'
27,17.54,73.84,'majority'
20,-21.89,-70.07,'minority'
42,17.42,-61.19,'minority'
5,17.61,-61.26,'majority'
55,-5.25,153.7,'majority'
91,-21.29,-68.2,'minority'
33,-22.46,-174.61,'majority'
80,-7.53,127.91,'minority'
13,-9.29,158.46,'minority'
29,-8.93,120.32,'minority'
20,43.52,146.72,'minority'
599,-6.1,113.36,'minority'
46,-5.54,153.36,'minority'
7,39.4,24.94,'minority'
8,22.76,121.47,'minority'
87,-16.13,-173.95,'majority'
528,-6.59,116.18,'majority'
37,32.48,132.28,'minority'
40,32.24,132.21,'majority'
12,33.22,-116.19,'minority'
22,58.69,-149.93,'minority'
30,43.58,-127.89,'minority'
162,29.93,129.39,'majority'
9,40.86,143.38,'minority'
26,41.52,142.82,'minority'
60,40.78,142.15,'majority'
32,39.83,143.16,'majority'
45,-30.86,-178.21,'minority'
33,-30.84,-178.2,'minority'
44,44.67,150.28,'majority'
47,41.47,142.88,'majority'
21,-41.72,172.03,'minority'
618,-6.84,118.91,'majority'
73,-2.98,139.34,'minority'
45,44.48,150.19,'majority'
27,-1.86,120.1,'majority'
31,39.47,142.89,'minority'
16,5.64,-82.6,'majority'
26,41.06,143.1,'majority'
33,-5.55,-77.2,'minority'
33,-5.51,-77.3,'majority'
68,36.01,139.33,'majority'
72,-2.7,139.01,'majority'
44,38.54,142.14,'minority'
30,39.54,143.2,'majority'
17,-30.97,-178.13,'minority'
25,-0.27,133.47,'minority'
36,-6.86,-80.42,'majority'
31,16.3,122.11,'majority'
36,16.56,-97.79,'minority'
43,25.73,128.5,'minority'
52,16.45,122.31,'minority'
96,6.6,126.77,'majority'
48,33.31,132.31,'minority'
1,1.38,126.24,'minority'
41,1.4,126.27,'minority'
22,0.06,119.73,'minority'
534,-10.2,159.9,'minority'
33,1.17,126.14,'majority'
25,34.15,59.01,'majority'
14,34.09,58.24,'majority'
32,-3.74,143.01,'minority'
122,-8.62,-74.55,'majority'
640,-21.57,-179.35,'majority'
3,28.3,53.17,'majority'
49,-6.08,148.77,'majority'
103,10.76,-62.7,'minority'
57,42.08,142.65,'majority'
114,15.54,-92.65,'majority'
12,-30.52,-178.01,'majority'
151,-6.89,129.21,'majority'
12,-3.65,143.37,'majority'
66,-13.1,-76.37,'majority'
0,49.82,78.18,'majority'
45,-56.27,-27.07,'minority'
10,-7.6,126.26,'majority'
518,26.29,140.7,'minority'
33,-39.85,87.74,'majority'
18,-31.54,117,'majority'
21,-3.38,143.29,'minority'
49,-12.41,166.43,'majority'
7,65.46,-150.07,'minority'
1,1.2,126.34,'minority'
596,-14.2,172.02,'majority'
0,73.39,54.58,'minority'
150,9.57,-72.63,'majority'
49,40.3,142.39,'majority'
15,-14.01,23.82,'majority'
33,51.56,175.86,'majority'
82,60.15,-152.82,'minority'
79,-56.03,-27.57,'majority'
71,-8.03,158.94,'minority'
32,-10.57,164.46,'minority'
138,-56.81,-26.93,'minority'
238,44.89,143.21,'minority'
114,-14.89,167.22,'minority'
17,54.84,166,'minority'
587,-21.87,-179.54,'majority'
24,0.77,126.02,'majority'
35,-17.15,-171.57,'minority'
72,4.77,127.5,'majority'
46,4.81,127.54,'minority'
27,-8.07,-80.09,'majority'
635,-22.75,178.76,'minority'
3,41.42,79.24,'majority'
425,-6.76,126.74,'minority'
74,3.5,128.41,'majority'
53,-3.17,118.91,'majority'
14,35.97,-10.58,'minority'
43,8.69,127.35,'minority'
32,4.72,127.65,'majority'
4,38.55,28.46,'majority'
35,11.91,41.21,'majority'
33,27.61,33.91,'minority'
19,12,41.35,'majority'
170,-6.11,129.91,'majority'
38,-13.57,166.2,'majority'
39,32.15,131.98,'minority'
34,-30.5,-71.38,'majority'
200,-16.71,-174.66,'majority'
22,51.29,-179.85,'minority'
22,34.43,25.04,'majority'
52,49.41,155.54,'minority'
66,-7.93,159.05,'majority'
33,-52.53,159.7,'majority'
41,53.31,-162.41,'majority'
56,51.46,-179.95,'minority'
44,52.21,158.95,'majority'
6,38.43,119.47,'majority'
54,-17.3,-72.48,'majority'
1,-11.84,-75.1,'majority'
531,-5.71,125.42,'minority'
21,1.26,126.23,'minority'
193,36.44,70.86,'majority'
193,-6.14,129.69,'majority'
8,43.46,147.91,'majority'
45,43.59,147.63,'majority'
41,43.44,147.82,'minority'
38,43.61,147.18,'minority'
0,43.63,146.5,'minority'
0,43.72,147.8,'majority'
33,43.78,147.48,'minority'
44,1.81,126.41,'minority'
70,43.45,147.98,'minority'
46,43.14,147.44,'minority'
320,21.57,143.1,'majority'
49,43.17,147.46,'majority'
34,25.12,-109.55,'majority'
111,47.88,153.75,'minority'
31,-8.89,157.95,'majority'
17,-8.98,157.91,'majority'
38,51.27,-179.17,'majority'
39,31.08,131.43,'minority'
37,15.3,-45.78,'majority'
36,-60.9,-55.9,'majority'
43,-11.75,-75.15,'majority'
0,73.39,54.5,'minority'
124,23.09,94.7,'minority'
43,51.31,-179.23,'minority'
7,34.77,-121.35,'majority'
57,-16.11,-173.87,'majority'
31,-53.37,23.6,'majority'
22,51.26,-178.95,'minority'
11,34.72,-121.28,'majority'
74,27.8,60.02,'minority'
20,1.94,94.61,'minority'
51,57.7,163.56,'minority'
113,37.16,71.64,'majority'
0,49.94,78.98,'minority'
0,43.79,54.75,'majority'
51,1.99,126.94,'minority'
31,8.2,58.49,'majority'
329,46.21,142.45,'majority'
1,15.79,-59.64,'minority'
6,16.08,-59.79,'majority'
62,28.55,129.15,'majority'
15,24.12,102.49,'majority'
189,-34.85,178.79,'minority'
68,6.8,126.75,'majority'
82,-25.85,-177.29,'minority'
25,42.48,143.04,'minority'
23,7.03,-104.24,'minority'
18,15.57,-99.48,'majority'
8,12.58,122.09,'majority'
36,-9.84,-75.55,'majority'
83,9.8,125.91,'majority'
24,30.61,103.05,'majority'
7,50.13,-179.59,'minority'
161,52.59,-175.04,'minority'
21,12.15,143.82,'minority'
39,-19.07,168.54,'minority'
44,44.65,148.99,'minority'
16,57.39,-153.97,'minority'
99,-29.6,-69.42,'majority'
8,51.34,173.75,'majority'
3,-22.08,126.65,'minority'
11,0.28,119.37,'minority'
59,-6.26,154.62,'majority'
18,39.21,29.51,'minority'
232,-17.07,168.56,'minority'
82,6.78,126.66,'majority'
75,39.78,141.91,'majority'
40,15.78,121.71,'minority'
23,38.34,22.56,'majority'
25,15.08,122.01,'majority'
243,-18.79,169.29,'minority'
12,52.93,171.45,'majority'
56,14.65,-92.59,'majority'
37,14.61,-93.29,'majority'
196,-4.37,151.81,'majority'
12,50.19,91.24,'majority'
6,-55.92,-28.07,'minority'
406,27.22,140.29,'minority'
85,-11.73,166.38,'majority'
48,-9.15,-78.83,'minority'
54,-9.93,-78.46,'minority'
45,-9.28,-79.05,'majority'
43,-10.22,-78.69,'majority'
48,-9.88,-78.69,'majority'
24,42.48,78.71,'majority'
53,44.72,149.46,'majority'
87,-24.47,-68.46,'minority'
64,-58.86,157.6,'minority'
32,-2.9,139.08,'majority'
10,-51.94,-74.14,'majority'
99,-16,-71.88,'majority'
44,-22.28,-70.55,'minority'
72,-7.9,158.68,'majority'
50,-8.75,124.04,'minority'
587,-21.66,-179.42,'majority'
55,-10.14,-78.6,'majority'
148,18,-64.67,'majority'
44,51.35,-178.51,'majority'
47,32.26,131.78,'minority'
47,32.31,131.83,'minority'
73,-37.73,177.66,'majority'
68,26.02,95.37,'minority'
653,-1.46,-72.56,'minority'
17,1.16,126.2,'majority'
46,-13.92,166.65,'majority'
20,-14.13,166.56,'minority'
45,-60.63,-25.27,'majority'
43,-13.89,166.53,'majority'
92,-9,117.95,'majority'
30,60.7,-145.38,'majority'
33,-56.46,-142.61,'majority'
76,-4.6,153.22,'minority'
643,52.36,151.64,'minority'
39,17.7,147.65,'minority'
50,13,144.5,'majority'
42,-6.5,154.63,'majority'
8,6.37,-77.48,'minority'
6,6.52,-77.4,'majority'
60,-13.52,166.59,'minority'
32,-3.56,86.19,'majority'
7,-31.94,-177.89,'minority'
33,-32,-178.1,'majority'
124,-4.1,143.1,'majority'
0,73.31,54.89,'minority'
37,39.25,140.71,'majority'
45,-4.97,145.45,'minority'
33,-3.43,135.65,'minority'
22,-5.1,145.13,'minority'
80,-6.05,148.55,'majority'
39,43.46,146.94,'majority'
16,-20.94,-69.81,'majority'
119,-4.11,142.88,'majority'
10,-11.02,163.45,'minority'
25,-11.03,163.41,'majority'
29,-23.19,-70.11,'majority'
39,41.79,143.5,'majority'
183,29.79,140.11,'minority'
46,-30.81,-71.16,'majority'
15,-3.97,-80.66,'minority'
0,43.87,54.78,'minority'
46,-1.59,99.95,'majority'
0,43.81,54.82,'minority'
63,-5.23,153.59,'minority'
70,-10.58,161.39,'minority'
41,-3.21,139.69,'minority'
3,-2.95,139.64,'majority'
40,-3.06,139.62,'minority'
34,-3.31,139.76,'majority'
39,-3.01,139.62,'majority'
52,-3.24,139.84,'majority'
18,-3.31,139.91,'minority'
22,-3.37,139.91,'majority'
55,-3.08,139.45,'minority'
33,-3.41,139.55,'majority'
134,-3.63,139.44,'majority'
31,-9.65,151.4,'majority'
45,51.46,-177.71,'majority'
515,51.69,150.97,'minority'
57,-2.89,139.38,'majority'
40,0.53,98.72,'minority'
40,51.47,-176.81,'majority'
12,-63.43,-61.36,'minority'
9,34.4,-118.43,'minority'
166,-23.81,-67.2,'minority'
115,-5.75,145.39,'minority'
21,-10.93,163.8,'majority'
20,8.43,127.23,'majority'
49,-22.96,-176.14,'minority'
29,70.97,-6.86,'majority'
14,41.42,79.2,'majority'
92,4.76,126.52,'minority'
0,60.33,-140.94,'majority'
33,37.3,71.07,'majority'
49,38.41,142.18,'majority'
67,-0.36,124.73,'minority'
150,53.26,-170.53,'majority'
29,2.45,129.13,'minority'
74,-4.42,102.32,'minority'
37,28.3,55.61,'minority'
0,49.77,78.08,'majority'
38,51.41,-177.21,'minority'
46,-6.54,105.37,'majority'
146,-42.28,-71.79,'majority'
29,-39.78,-104.87,'minority'
42,7.99,126.95,'majority'
0,63.92,146.1,'majority'
3,38.85,40.52,'majority'
35,18.02,-69.79,'minority'
19,51.67,176.04,'majority'
76,-25.4,-69.06,'minority'
34,-5.26,153.46,'majority'
54,-6.23,154.45,'minority'
0,-5.18,96.89,'majority'
58,-5.97,144.38,'minority'
92,-7.03,129.7,'minority'
40,-32.51,-71.21,'minority'
36,-32.19,-71.72,'majority'
43,-5.52,153.87,'minority'
48,-4.86,153.32,'majority'
37,-5.78,153.8,'majority'
36,52.13,173.03,'majority'
43,-4.93,153.18,'minority'
41,39.81,77.22,'majority'
74,-5.4,152.07,'majority'
33,-5.53,151.84,'majority'
77,-5.16,152.26,'minority'
48,-5.7,151.96,'minority'
23,-5.81,151.55,'minority'
49,-5.86,151.31,'minority'
88,-2.79,-77.35,'minority'
59,-4.89,153.34,'majority'
25,-5.14,152.87,'majority'
45,41.37,143.44,'minority'
43,-0.85,-22.07,'minority'
60,-5.88,154.31,'majority'
43,-5.74,152.13,'majority'
32,49.29,155.49,'minority'
9,13.3,-92.41,'majority'
33,-55.73,-26.04,'majority'
14,46.54,141.15,'minority'
21,46.76,141.39,'minority'
27,46.28,141.03,'majority'
7,44.34,150.85,'minority'
29,-20.41,-174.17,'majority'
22,-6.46,151.55,'minority'
4,-6.79,151.8,'majority'
30,39.17,143.4,'majority'
107,-5.93,130.68,'minority'
111,-6.54,146.64,'minority'
70,-0.02,124.84,'majority'
0,73.39,54.91,'minority'
27,46.41,141.16,'majority'
148,3.63,125.92,'majority'
30,-0.45,-4.89,'minority'
52,-6.55,154.97,'majority'
111,-5.42,154.28,'majority'
26,11.83,142.52,'majority'
50,-6.49,151.18,'majority'
21,11.86,142.38,'minority'
21,11.86,142.35,'minority'
49,-15.57,167.24,'minority'
45,-5.93,154.05,'minority'
107,-5.57,153.99,'majority'
66,-5.95,153.84,'majority'
53,10.11,92.93,'majority'
533,-23.45,-179.88,'minority'
119,-11.87,166.55,'minority'
135,-11.94,166.57,'majority'
99,52.85,159.22,'minority'
33,-55.19,-128.87,'majority'
99,-29.86,-69.5,'majority'
38,44.77,153.33,'minority'
77,-6.02,154.56,'majority'
39,56.04,163.17,'minority'
0,47.9,48.07,'minority'
116,-4.75,151.84,'majority'
11,-16.85,174.9,'majority'
6,22.5,122.08,'majority'
166,-4.6,151.86,'majority'
29,-30.65,-177.82,'majority'
12,-2.09,138.96,'majority'
36,20.95,120.26,'minority'
56,-55.72,-28.75,'minority'
23,-4.84,145.1,'majority'
37,-4.74,145,'majority'
214,36.4,70.72,'majority'
33,-13.18,166.32,'majority'
12,-3.54,151.29,'majority'
29,22.55,122.37,'minority'
34,23.05,122.14,'minority'
127,-19.38,169.13,'minority'
45,19.36,122.06,'majority'
5,-15.36,-173.3,'majority'
101,-11.43,166.37,'minority'
60,-17.62,-71.27,'majority'
40,-60.59,-25.5,'majority'
50,33.38,140.97,'minority'
52,33.48,141.05,'majority'
12,-18.94,-173.72,'majority'
54,33.45,141,'majority'
181,-28.25,-178.27,'minority'
29,-3.74,131.39,'majority'
37,33.6,141.38,'majority'
72,40.84,141.98,'majority'
52,-6.79,-76.76,'minority'
43,51.27,-179.21,'minority'
135,49.05,153.6,'minority'
33,-45.1,166.68,'majority'
43,56.14,-157.14,'minority'
124,48.04,153.13,'majority'
40,43.33,146.03,'majority'
479,-25.69,179.58,'minority'
33,-49.35,164.09,'minority'
1,-16.05,-173,'majority'
376,-7.47,125.56,'minority'
33,-53.52,159.08,'majority'
21,42.09,84.58,'majority'
11,28.39,52.78,'minority'
0,0.99,-28.3,'minority'
48,24.1,122.44,'majority'
91,53.95,-166.82,'majority'
116,-31.4,-110.99,'majority'
29,23.6,121.55,'minority'
38,13.38,120.34,'minority'
413,-5.13,154.23,'minority'
30,5.22,-100.32,'majority'
46,-15.94,167.53,'minority'
14,35.16,23.56,'majority'
38,-4.21,152.71,'majority'
565,-17.82,-178.79,'majority'
342,-27.74,-178.99,'majority'
36,16.61,122.19,'majority'
208,-17.76,-175.06,'minority'
45,-11.05,116.97,'minority'
39,-30.34,-71.58,'majority'
336,3.86,124.26,'minority'
27,53.25,-166.78,'majority'
66,-7.12,155.87,'majority'
47,36.28,69.69,'majority'
31,50.1,-129.3,'majority'
29,56.77,-135.91,'minority'
19,30.71,141.82,'majority'
92,2.35,127.56,'majority'
47,49.13,155.97,'majority'
10,-11.1,162.17,'majority'
20,-16.66,-172.01,'majority'
45,51.34,-179.29,'majority'
43,-6.29,144.46,'majority'
26,-6.04,152.9,'minority'
22,-6.05,152.63,'majority'
53,-5.15,134.09,'minority'
573,49.47,147.08,'majority'
115,-33.49,-179.4,'majority'
0,73.39,54.65,'minority'
122,-14.99,167.3,'majority'
51,29.41,130.64,'minority'
45,35.94,73.33,'minority'
64,-11.78,166.31,'minority'
154,1.9,128.2,'majority'
49,-19.89,169.08,'minority'
107,-2.52,119.22,'majority'
0,71.42,-10.39,'majority'
48,-15.35,-175.6,'majority'
75,37.96,22.38,'majority'
30,-20.36,168.89,'majority'
20,15.23,-96.26,'minority'
23,-9.93,119.6,'majority'
0,19.55,-70.22,'majority'
33,-6.22,131.15,'minority'
33,-6.56,131.3,'majority'
7,-30.91,-68.21,'majority'
10,-16.47,-172.17,'majority'
632,7.46,123.77,'minority'
119,1.81,127.45,'majority'
35,52.89,-162.98,'minority'
33,-8.79,124.98,'minority'
63,27.48,128.57,'minority'
2,-7.33,146.83,'majority'
0,49.91,78.85,'minority'
37,-20.03,168.91,'minority'
22,23.87,121.61,'majority'
111,38.33,73.17,'majority'
0,-6.72,154.53,'majority'
73,6.41,126.62,'minority'
62,33.34,140.82,'minority'
0,-1.52,136.67,'minority'
0,49.97,78.95,'minority'
16,44.68,149.37,'majority'
83,-7,155.81,'majority'
139,-7.5,127.83,'minority'
159,-4.35,153.45,'minority'
61,-30.51,-71.08,'majority'
147,-39.02,175.23,'minority'
24,-14.66,166.41,'minority'
38,-6.88,150.03,'minority'
90,-12.1,166.52,'minority'
112,-0.14,124,'majority'
48,18.53,-102.93,'minority'
508,28.22,139.3,'majority'
214,-22.53,-66.19,'minority'
5,31.33,100.49,'majority'
35,31.5,100.33,'majority'
42,22.27,121.52,'majority'
53,-19.16,168.69,'majority'
41,-61.1,-38.01,'minority'
62,50.51,156.58,'minority'
24,54.73,161.7,'majority'
25,6.32,127.38,'majority'
56,-3.01,139.08,'majority'
62,50.78,157.19,'minority'
11,2.18,126.65,'majority'
193,-19.41,169.39,'majority'
44,13.41,122.87,'majority'
33,2.09,126.55,'majority'
51,29.3,130.41,'majority'
146,4.7,-75.67,'minority'
39,7,91.33,'majority'
38,-15.81,167.24,'majority'
15,-9.81,119.29,'majority'
46,50.86,157.43,'minority'
20,4.96,-78.12,'minority'
19,-59.38,-26.12,'minority'
9,20.05,-155.16,'majority'
15,-10.01,150.2,'minority'
33,2.25,126.74,'majority'
48,-1.46,99.8,'majority'
0,-6.34,151.18,'majority'
23,-6.26,151.86,'majority'
0,53.97,-163.71,'minority'
1,24.31,93.52,'majority'
33,-54,159.35,'majority'
91,-10.31,161.42,'minority'
0,-6.73,154.81,'majority'
55,-7.27,156.14,'majority'
33,53.61,161.38,'majority'
44,51.27,-179.38,'majority'
0,44.98,-125.87,'majority'
41,43.12,145.74,'minority'
39,42.92,146.39,'majority'
11,42.65,146.08,'minority'
0,-5.88,151.86,'minority'
26,43.28,146.43,'minority'
19,43.14,146.89,'majority'
45,19.11,121.19,'majority'
10,43.01,146.66,'majority'
56,43.28,145.81,'majority'
30,57.86,-137.42,'minority'
56,12.21,125.29,'minority'
0,57.99,-138.04,'minority'
22,35.16,86.4,'majority'
49,36.45,141.05,'majority'
373,-24.83,-179.19,'majority'
0,49.94,78.85,'minority'
203,-14.33,167.29,'minority'
33,-16.22,-173.08,'minority'
44,43.38,146.46,'majority'
109,-4.5,144.1,'majority'
346,-31.38,-179.38,'minority'
33,57.09,-154.12,'majority'
55,-7.22,156.08,'majority'
75,18.25,-96.58,'minority'
