@relation aux
@attribute top.left.square {'b','o','x'}
@attribute top.middle.square {'b','o','x'}
@attribute top.right.square {'b','o','x'}
@attribute middle.left.square {'b','o','x'}
@attribute middle.middle.square {'b','o','x'}
@attribute middle.right.square {'b','o','x'}
@attribute bottom.left.square {'b','o','x'}
@attribute bottom.middle.square {'b','o','x'}
@attribute bottom.right.square {'b','o','x'}
@attribute class {'minority','majority'}
@data
'x','o','b','x','o','o','x','b','x','majority'
'x','o','b','x','o','b','x','x','o','majority'
'x','o','b','x','o','b','x','b','b','majority'
'x','o','b','x','b','x','x','o','o','majority'
'x','o','b','x','b','o','x','x','o','majority'
'x','o','b','x','b','o','x','o','x','majority'
'x','o','b','x','b','o','x','b','b','majority'
'x','o','b','x','b','b','x','o','b','majority'
'x','o','b','x','b','b','x','b','o','majority'
'x','o','b','o','x','x','o','b','x','majority'
'x','o','b','o','x','x','b','o','x','majority'
'x','o','b','o','x','o','x','b','x','majority'
'x','o','b','o','x','o','b','x','x','majority'
'x','o','b','o','x','b','x','o','x','majority'
'x','o','b','o','x','b','o','x','x','majority'
'x','o','b','o','x','b','b','b','x','majority'
'x','o','b','o','o','b','x','x','x','majority'
'x','o','b','o','b','o','x','x','x','majority'
'x','o','b','b','x','x','o','o','x','majority'
'x','o','b','b','x','o','x','o','x','majority'
'x','o','b','b','x','o','o','x','x','majority'
'x','o','b','b','x','o','b','b','x','majority'
'x','o','b','b','x','b','o','b','x','majority'
'x','o','b','b','x','b','b','o','x','majority'
'x','o','b','b','o','o','x','x','x','majority'
'x','b','x','x','o','o','x','o','b','majority'
'x','b','x','x','o','o','x','b','o','majority'
'x','b','x','x','o','b','x','o','o','majority'
'x','b','x','x','b','o','x','o','o','majority'
'x','b','x','o','x','o','x','o','b','majority'
'x','b','x','o','x','o','x','b','o','majority'
'x','b','x','o','x','o','o','b','x','majority'
'x','b','x','o','x','o','b','o','x','majority'
'x','b','x','o','x','b','x','o','o','majority'
'x','b','x','o','x','b','o','o','x','majority'
'x','b','x','o','o','x','o','b','x','majority'
'x','b','x','o','o','x','b','o','x','majority'
'x','b','x','o','b','x','o','o','x','majority'
'x','b','x','b','x','o','x','o','o','majority'
'x','b','x','b','x','o','o','o','x','majority'
'x','b','x','b','o','x','o','o','x','majority'
'x','b','o','x','x','x','o','o','b','majority'
'x','b','o','x','x','x','o','b','o','majority'
'x','b','o','x','x','x','b','o','o','majority'
'x','b','o','x','x','o','x','o','b','majority'
'x','b','o','x','x','o','o','b','x','majority'
'x','b','o','x','x','o','b','o','x','majority'
'x','b','o','x','x','b','x','o','o','majority'
'x','b','o','x','x','b','o','o','x','majority'
'x','b','o','x','o','x','x','o','b','majority'
'x','b','o','x','o','x','x','b','o','majority'
'x','b','o','x','o','o','x','x','b','majority'
'x','b','o','x','o','o','x','b','x','majority'
'x','b','o','x','o','b','x','x','o','majority'
'x','b','o','x','o','b','x','o','x','majority'
'x','b','o','x','o','b','x','b','b','majority'
'x','b','o','x','b','x','x','o','o','majority'
'x','b','o','x','b','o','x','o','x','majority'
'x','b','o','x','b','o','x','b','b','majority'
'x','b','o','x','b','b','x','o','b','majority'
'x','b','o','x','b','b','x','b','o','majority'
'x','b','o','o','x','x','o','b','x','majority'
'x','b','o','o','x','x','b','o','x','majority'
'x','b','o','o','x','o','x','b','x','majority'
'x','b','o','o','x','o','b','x','x','majority'
'x','b','o','o','x','b','x','o','x','majority'
'x','b','o','o','x','b','o','x','x','majority'
'x','b','o','o','x','b','b','b','x','majority'
'x','b','o','o','o','b','x','x','x','majority'
'x','b','o','o','b','o','x','x','x','majority'
'x','b','o','b','x','x','o','o','x','majority'
'x','b','o','b','x','o','x','o','x','majority'
'x','b','o','b','x','o','o','x','x','majority'
'x','b','o','b','x','o','b','b','x','majority'
'x','b','o','b','x','b','o','b','x','majority'
'x','b','o','b','x','b','b','o','x','majority'
'x','b','o','b','o','o','x','x','x','majority'
'x','b','b','x','x','o','x','o','o','majority'
'x','b','b','x','x','o','o','o','x','majority'
'x','b','b','x','o','x','x','o','o','majority'
'x','b','b','x','o','o','x','x','o','majority'
'x','b','b','x','o','o','x','o','x','majority'
'x','b','b','x','o','o','x','b','b','majority'
'x','b','b','x','o','b','x','o','b','majority'
'x','b','b','x','o','b','x','b','o','majority'
'x','b','b','x','b','o','x','o','b','majority'
'x','b','b','x','b','o','x','b','o','majority'
'x','b','b','x','b','b','x','o','o','majority'
'x','b','b','o','x','x','o','o','x','majority'
'x','b','b','o','x','o','x','o','x','majority'
'x','b','b','o','x','o','o','x','x','majority'
'x','b','b','o','x','o','b','b','x','majority'
'x','b','b','o','x','b','o','b','x','majority'
'x','b','b','o','x','b','b','o','x','majority'
'x','b','b','b','x','o','o','b','x','majority'
'x','b','b','b','x','o','b','o','x','majority'
'x','b','b','b','x','b','o','o','x','majority'
'o','x','x','x','x','o','x','o','o','majority'
'o','x','x','x','x','o','o','x','o','majority'
'o','x','x','x','o','x','o','o','x','majority'
'o','x','x','o','x','x','x','o','o','majority'
'o','x','x','o','x','o','x','x','o','majority'
'o','x','x','o','x','o','x','o','x','majority'
'o','x','x','o','x','o','x','b','b','majority'
'o','x','x','o','x','o','b','x','b','majority'
'o','x','x','o','x','b','x','o','b','majority'
'o','x','x','o','x','b','x','b','o','majority'
'o','x','x','o','x','b','b','x','o','majority'
'o','x','x','o','o','x','x','o','x','majority'
'o','x','x','o','o','x','b','b','x','majority'
'o','x','x','o','b','x','b','o','x','majority'
'o','x','x','b','x','o','x','o','b','majority'
'o','x','x','b','x','o','x','b','o','majority'
'o','x','x','b','x','o','o','x','b','majority'
'o','x','x','b','x','o','b','x','o','majority'
'o','x','x','b','x','b','x','o','o','majority'
'o','x','x','b','x','b','o','x','o','majority'
'o','x','x','b','o','x','o','b','x','majority'
'o','x','x','b','o','x','b','o','x','majority'
'o','x','x','b','b','x','o','o','x','majority'
'o','x','o','x','x','x','x','o','o','majority'
'o','x','o','x','x','x','o','x','o','majority'
'o','x','o','x','x','x','o','o','x','majority'
'o','x','o','x','x','x','o','b','b','majority'
'o','x','o','x','x','x','b','o','b','majority'
'o','x','o','x','x','x','b','b','o','majority'
'o','x','o','x','x','o','o','x','x','majority'
'o','x','o','x','x','o','b','x','b','majority'
'o','x','o','x','x','b','o','x','b','majority'
'o','x','o','x','x','b','b','x','o','majority'
'o','x','o','x','o','o','x','x','x','majority'
'o','x','o','o','x','x','x','x','o','majority'
'o','x','o','o','x','x','b','x','b','majority'
'o','x','o','o','x','o','x','x','x','majority'
'o','x','o','o','x','b','x','x','b','majority'
'o','x','o','o','x','b','b','x','x','majority'
'o','x','o','o','o','x','x','x','x','majority'
'o','x','o','o','b','b','x','x','x','majority'
'o','x','o','b','x','x','o','x','b','majority'
'o','x','o','b','x','x','b','x','o','majority'
'o','x','o','b','x','o','x','x','b','majority'
'o','x','o','b','x','o','b','x','x','majority'
'o','x','o','b','x','b','x','x','o','majority'
'o','x','o','b','x','b','o','x','x','majority'
'o','x','o','b','x','b','b','x','b','majority'
'o','x','o','b','o','b','x','x','x','majority'
'o','x','o','b','b','o','x','x','x','majority'
'o','x','b','x','x','x','o','o','b','majority'
'o','x','b','x','x','x','o','b','o','majority'
'o','x','b','x','x','x','b','o','o','majority'
'o','x','b','x','x','o','o','x','b','majority'
'o','x','b','x','x','o','b','x','o','majority'
'o','x','b','x','x','b','o','x','o','majority'
'o','x','b','o','x','x','b','x','o','majority'
'o','x','b','o','x','o','x','x','b','majority'
'o','x','b','o','x','o','b','x','x','majority'
'o','x','b','o','x','b','x','x','o','majority'
'o','x','b','o','x','b','b','x','b','majority'
'o','x','b','o','o','b','x','x','x','majority'
'o','x','b','o','b','o','x','x','x','majority'
'o','x','b','b','x','x','o','x','o','majority'
'o','x','b','b','x','o','x','x','o','majority'
'o','x','b','b','x','o','o','x','x','majority'
'o','x','b','b','x','o','b','x','b','majority'
'o','x','b','b','x','b','o','x','b','majority'
'o','x','b','b','x','b','b','x','o','majority'
'o','x','b','b','o','o','x','x','x','majority'
'o','o','x','x','x','x','x','o','o','majority'
'o','o','x','x','x','x','o','x','o','majority'
'o','o','x','x','x','x','o','o','x','majority'
'o','o','x','x','x','x','o','b','b','majority'
'o','o','x','x','x','x','b','o','b','majority'
'o','o','x','x','x','x','b','b','o','majority'
'o','o','x','x','x','o','x','x','o','majority'
'o','o','x','x','x','o','x','o','x','majority'
'o','o','x','x','x','o','x','b','b','majority'
'o','o','x','x','x','b','x','o','b','majority'
'o','o','x','x','x','b','x','b','o','majority'
'o','o','x','x','o','x','o','x','x','majority'
'o','o','x','x','o','x','b','b','x','majority'
'o','o','x','x','o','o','x','x','x','majority'
'o','o','x','x','b','x','o','b','x','majority'
'o','o','x','x','b','x','b','o','x','majority'
'o','o','x','o','x','x','x','x','o','majority'
'o','o','x','o','x','x','x','o','x','majority'
'o','o','x','o','x','x','x','b','b','majority'
'o','o','x','o','x','x','b','b','x','majority'
'o','o','x','o','x','o','x','x','x','majority'
'o','o','x','o','x','b','x','x','b','majority'
'o','o','x','o','x','b','x','b','x','majority'
'o','o','x','o','o','x','x','x','x','majority'
'o','o','x','o','b','x','x','b','x','majority'
'o','o','x','o','b','x','b','x','x','majority'
'o','o','x','o','b','b','x','x','x','majority'
'o','o','x','b','x','x','x','o','b','majority'
'o','o','x','b','x','x','x','b','o','majority'
'o','o','x','b','x','x','o','b','x','majority'
'o','o','x','b','x','x','b','o','x','majority'
'o','o','x','b','x','o','x','x','b','majority'
'o','o','x','b','x','o','x','b','x','majority'
'o','o','x','b','x','b','x','x','o','majority'
'o','o','x','b','x','b','x','o','x','majority'
'o','o','x','b','x','b','x','b','b','majority'
'o','o','x','b','o','x','x','b','x','majority'
'o','o','x','b','o','x','b','x','x','majority'
'o','o','x','b','o','b','x','x','x','majority'
'o','o','x','b','b','x','x','o','x','majority'
'o','o','x','b','b','x','o','x','x','majority'
'o','o','x','b','b','x','b','b','x','majority'
'o','o','x','b','b','o','x','x','x','majority'
'o','o','b','x','x','x','x','o','b','majority'
'o','o','b','x','x','x','x','b','o','majority'
'o','o','b','x','x','x','o','x','b','majority'
'o','o','b','x','x','x','o','b','x','majority'
'o','o','b','x','x','x','b','x','o','majority'
'o','o','b','x','x','x','b','o','x','majority'
'o','o','b','x','x','x','b','b','b','majority'
'o','o','b','x','o','b','x','x','x','majority'
'o','o','b','x','b','o','x','x','x','majority'
'o','o','b','o','x','b','x','x','x','majority'
'o','o','b','o','b','x','x','x','x','majority'
'o','o','b','b','x','o','x','x','x','majority'
'o','o','b','b','o','x','x','x','x','majority'
'o','o','b','b','b','b','x','x','x','majority'
'o','b','x','x','x','x','o','o','b','majority'
'o','b','x','x','x','x','o','b','o','majority'
'o','b','x','x','x','x','b','o','o','majority'
'o','b','x','x','x','o','x','o','b','majority'
'o','b','x','x','x','o','x','b','o','majority'
'o','b','x','x','x','b','x','o','o','majority'
'o','b','x','x','o','x','o','b','x','majority'
'o','b','x','x','o','x','b','o','x','majority'
'o','b','x','x','b','x','o','o','x','majority'
'o','b','x','o','x','x','x','o','b','majority'
'o','b','x','o','x','x','x','b','o','majority'
'o','b','x','o','x','x','b','o','x','majority'
'o','b','x','o','x','o','x','x','b','majority'
'o','b','x','o','x','o','x','b','x','majority'
'o','b','x','o','x','b','x','x','o','majority'
'o','b','x','o','x','b','x','o','x','majority'
'o','b','x','o','x','b','x','b','b','majority'
'o','b','x','o','o','x','x','b','x','majority'
'o','b','x','o','o','x','b','x','x','majority'
'o','b','x','o','o','b','x','x','x','majority'
'o','b','x','o','b','x','x','o','x','majority'
'o','b','x','o','b','x','b','b','x','majority'
'o','b','x','o','b','o','x','x','x','majority'
'o','b','x','b','x','x','x','o','o','majority'
'o','b','x','b','x','x','o','o','x','majority'
'o','b','x','b','x','o','x','x','o','majority'
'o','b','x','b','x','o','x','o','x','majority'
'o','b','x','b','x','o','x','b','b','majority'
'o','b','x','b','x','b','x','o','b','majority'
'o','b','x','b','x','b','x','b','o','majority'
'o','b','x','b','o','x','x','o','x','majority'
'o','b','x','b','o','x','o','x','x','majority'
'o','b','x','b','o','x','b','b','x','majority'
'o','b','x','b','o','o','x','x','x','majority'
'o','b','x','b','b','x','o','b','x','majority'
'o','b','x','b','b','x','b','o','x','majority'
'o','b','o','x','x','x','x','o','b','majority'
'o','b','o','x','x','x','x','b','o','majority'
'o','b','o','x','x','x','o','x','b','majority'
'o','b','o','x','x','x','o','b','x','majority'
'o','b','o','x','x','x','b','x','o','majority'
'o','b','o','x','x','x','b','o','x','majority'
'o','b','o','x','x','x','b','b','b','majority'
'o','b','o','x','o','b','x','x','x','majority'
'o','b','o','x','b','o','x','x','x','majority'
'o','b','o','o','x','b','x','x','x','majority'
'o','b','o','o','b','x','x','x','x','majority'
'o','b','o','b','x','o','x','x','x','majority'
'o','b','o','b','o','x','x','x','x','majority'
'o','b','o','b','b','b','x','x','x','majority'
'o','b','b','x','x','x','x','o','o','majority'
'o','b','b','x','x','x','o','x','o','majority'
'o','b','b','x','x','x','o','o','x','majority'
'o','b','b','x','x','x','o','b','b','majority'
'o','b','b','x','x','x','b','o','b','majority'
'o','b','b','x','x','x','b','b','o','majority'
'o','b','b','x','o','o','x','x','x','majority'
'o','b','b','o','x','o','x','x','x','majority'
'o','b','b','o','o','x','x','x','x','majority'
'o','b','b','o','b','b','x','x','x','majority'
'o','b','b','b','o','b','x','x','x','majority'
'o','b','b','b','b','o','x','x','x','majority'
'b','x','x','o','x','o','x','o','b','majority'
'b','x','x','o','x','o','x','b','o','majority'
'b','x','x','o','x','o','o','x','b','majority'
'b','x','x','o','x','o','b','x','o','majority'
'b','x','x','o','x','b','x','o','o','majority'
'b','x','x','o','x','b','o','x','o','majority'
'b','x','x','o','o','x','o','b','x','majority'
'b','x','x','o','o','x','b','o','x','majority'
'b','x','x','o','b','x','o','o','x','majority'
'b','x','x','b','x','o','x','o','o','majority'
'b','x','x','b','x','o','o','x','o','majority'
'b','x','x','b','o','x','o','o','x','majority'
'b','x','o','x','x','x','o','o','b','majority'
'b','x','o','x','x','x','o','b','o','majority'
'b','x','o','x','x','x','b','o','o','majority'
'b','x','o','x','x','o','o','x','b','majority'
'b','x','o','x','x','b','o','x','o','majority'
'b','x','o','o','x','x','o','x','b','majority'
'b','x','o','o','x','x','b','x','o','majority'
'b','x','o','o','x','o','x','x','b','majority'
'b','x','o','o','x','o','b','x','x','majority'
'b','x','o','o','x','b','x','x','o','majority'
'b','x','o','o','x','b','o','x','x','majority'
'b','x','o','o','x','b','b','x','b','majority'
'b','x','o','o','o','b','x','x','x','majority'
'b','x','o','o','b','o','x','x','x','majority'
'b','x','o','b','x','x','o','x','o','majority'
'b','x','o','b','x','o','o','x','x','majority'
'b','x','o','b','x','o','b','x','b','majority'
'b','x','o','b','x','b','o','x','b','majority'
'b','x','o','b','x','b','b','x','o','majority'
'b','x','o','b','o','o','x','x','x','majority'
'b','x','b','x','x','o','o','x','o','majority'
'b','x','b','o','x','x','o','x','o','majority'
'b','x','b','o','x','o','x','x','o','majority'
'b','x','b','o','x','o','o','x','x','majority'
'b','x','b','o','x','o','b','x','b','majority'
'b','x','b','o','x','b','o','x','b','majority'
'b','x','b','o','x','b','b','x','o','majority'
'b','x','b','b','x','o','o','x','b','majority'
'b','x','b','b','x','o','b','x','o','majority'
'b','x','b','b','x','b','o','x','o','majority'
'b','o','x','x','x','x','o','o','b','majority'
'b','o','x','x','x','x','o','b','o','majority'
'b','o','x','x','x','x','b','o','o','majority'
'b','o','x','x','x','o','x','o','b','majority'
'b','o','x','x','x','o','x','b','o','majority'
'b','o','x','x','x','b','x','o','o','majority'
'b','o','x','x','o','x','o','b','x','majority'
'b','o','x','x','b','x','o','o','x','majority'
'b','o','x','o','x','x','x','o','b','majority'
'b','o','x','o','x','x','x','b','o','majority'
'b','o','x','o','x','x','o','b','x','majority'
'b','o','x','o','x','x','b','o','x','majority'
'b','o','x','o','x','o','x','x','b','majority'
'b','o','x','o','x','o','x','b','x','majority'
'b','o','x','o','x','b','x','x','o','majority'
'b','o','x','o','x','b','x','o','x','majority'
'b','o','x','o','x','b','x','b','b','majority'
'b','o','x','o','o','x','x','b','x','majority'
'b','o','x','o','o','x','b','x','x','majority'
'b','o','x','o','o','b','x','x','x','majority'
'b','o','x','o','b','x','x','o','x','majority'
'b','o','x','o','b','x','o','x','x','majority'
'b','o','x','o','b','x','b','b','x','majority'
'b','o','x','o','b','o','x','x','x','majority'
'b','o','x','b','x','x','x','o','o','majority'
'b','o','x','b','x','x','o','o','x','majority'
'b','o','x','b','x','o','x','x','o','majority'
'b','o','x','b','x','o','x','o','x','majority'
'b','o','x','b','x','o','x','b','b','majority'
'b','o','x','b','x','b','x','o','b','majority'
'b','o','x','b','x','b','x','b','o','majority'
'b','o','x','b','o','x','o','x','x','majority'
'b','o','x','b','o','x','b','b','x','majority'
'b','o','x','b','o','o','x','x','x','majority'
'b','o','x','b','b','x','o','b','x','majority'
'b','o','x','b','b','x','b','o','x','majority'
'b','o','o','x','x','x','x','o','b','majority'
'b','o','o','x','x','x','x','b','o','majority'
'b','o','o','x','x','x','o','x','b','majority'
'b','o','o','x','x','x','o','b','x','majority'
'b','o','o','x','x','x','b','x','o','majority'
'b','o','o','x','x','x','b','o','x','majority'
'b','o','o','x','x','x','b','b','b','majority'
'b','o','o','x','o','b','x','x','x','majority'
'b','o','o','x','b','o','x','x','x','majority'
'b','o','o','o','x','b','x','x','x','majority'
'b','o','o','o','b','x','x','x','x','majority'
'b','o','o','b','x','o','x','x','x','majority'
'b','o','o','b','o','x','x','x','x','majority'
'b','o','o','b','b','b','x','x','x','majority'
'b','o','b','x','x','x','x','o','o','majority'
'b','o','b','x','x','x','o','x','o','majority'
'b','o','b','x','x','x','o','o','x','majority'
'b','o','b','x','x','x','o','b','b','majority'
'b','o','b','x','x','x','b','o','b','majority'
'b','o','b','x','x','x','b','b','o','majority'
'b','o','b','x','o','o','x','x','x','majority'
'b','o','b','o','x','o','x','x','x','majority'
'b','o','b','o','o','x','x','x','x','majority'
'b','o','b','o','b','b','x','x','x','majority'
'b','o','b','b','o','b','x','x','x','majority'
'b','o','b','b','b','o','x','x','x','majority'
'b','b','x','x','x','o','x','o','o','majority'
'b','b','x','x','o','x','o','o','x','majority'
