@relation aux
@attribute fathers_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute sons_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute family_structure {'intact','nonintact'}
@attribute race {'black','white'}
@attribute counts_for_sons_first_occupation numeric
@attribute class {'majority','minority'}
@data
'Salesman-Retail','Manager','intact','white',16.4,'minority'
'Salesman-Retail','Salesman-Nonretail','intact','white',17.3,'minority'
'Salesman-Retail','Proprietor','intact','white',2.3,'minority'
'Salesman-Retail','Clerk','intact','white',44.2,'minority'
'Salesman-Retail','Salesman-Retail','intact','white',38.1,'majority'
'Salesman-Retail','Craftsman-Manufacturing','intact','white',10.3,'majority'
'Salesman-Retail','Craftsmen-Other','intact','white',16.7,'minority'
'Salesman-Retail','Craftsman-Construction','intact','white',5.9,'majority'
'Salesman-Retail','Service_Worker','intact','white',7.4,'majority'
'Salesman-Retail','Operative-Nonmanufacturing','intact','white',34.7,'majority'
'Salesman-Retail','Operative-Manufacturing','intact','white',35.5,'minority'
'Salesman-Retail','Laborer-Manufacturing','intact','white',9.8,'majority'
'Salesman-Retail','Laborer-Nonmanufacturing','intact','white',10.5,'majority'
'Salesman-Retail','Farmer/Farm_Manager','intact','white',2.9,'majority'
'Salesman-Retail','Farm_Laborer','intact','white',3.1,'majority'
'Craftsman-Manufacturing','Professional_Self-Employed','intact','white',7.3,'majority'
'Craftsman-Manufacturing','Professional-Salaried','intact','white',193.8,'minority'
'Craftsman-Manufacturing','Manager','intact','white',46.6,'minority'
'Craftsman-Manufacturing','Salesman-Nonretail','intact','white',31.4,'minority'
'Craftsman-Manufacturing','Proprietor','intact','white',2.3,'minority'
'Craftsman-Manufacturing','Clerk','intact','white',157.7,'minority'
'Craftsman-Manufacturing','Salesman-Retail','intact','white',46.4,'minority'
'Craftsman-Manufacturing','Craftsman-Manufacturing','intact','white',138.3,'minority'
'Craftsman-Manufacturing','Craftsmen-Other','intact','white',61.3,'minority'
'Craftsman-Manufacturing','Craftsman-Construction','intact','white',25.8,'minority'
'Craftsman-Manufacturing','Service_Worker','intact','white',50.7,'minority'
'Craftsman-Manufacturing','Operative-Nonmanufacturing','intact','white',91.9,'minority'
'Craftsman-Manufacturing','Operative-Manufacturing','intact','white',236.9,'minority'
'Craftsman-Manufacturing','Laborer-Manufacturing','intact','white',72.8,'minority'
'Craftsman-Manufacturing','Laborer-Nonmanufacturing','intact','white',66.1,'minority'
'Craftsman-Manufacturing','Farmer/Farm_Manager','intact','white',7.3,'majority'
'Craftsman-Manufacturing','Farm_Laborer','intact','white',11.9,'majority'
'Craftsmen-Other','Professional_Self-Employed','intact','white',6.4,'majority'
'Craftsmen-Other','Professional-Salaried','intact','white',194.2,'minority'
'Craftsmen-Other','Manager','intact','white',46.6,'minority'
'Craftsmen-Other','Salesman-Nonretail','intact','white',33.2,'minority'
'Craftsmen-Other','Proprietor','intact','white',2.7,'minority'
'Craftsmen-Other','Clerk','intact','white',152.6,'minority'
'Craftsmen-Other','Salesman-Retail','intact','white',48.5,'minority'
'Craftsmen-Other','Craftsman-Manufacturing','intact','white',58.2,'minority'
'Craftsmen-Other','Craftsmen-Other','intact','white',180.7,'minority'
'Craftsmen-Other','Craftsman-Construction','intact','white',45.6,'minority'
'Craftsmen-Other','Service_Worker','intact','white',43.5,'minority'
'Craftsmen-Other','Operative-Nonmanufacturing','intact','white',163.7,'minority'
'Craftsmen-Other','Operative-Manufacturing','intact','white',148.3,'minority'
'Craftsmen-Other','Laborer-Manufacturing','intact','white',35,'minority'
'Craftsmen-Other','Laborer-Nonmanufacturing','intact','white',99.5,'minority'
'Craftsmen-Other','Farmer/Farm_Manager','intact','white',5.9,'majority'
'Craftsmen-Other','Farm_Laborer','intact','white',26.9,'majority'
'Craftsman-Construction','Professional_Self-Employed','intact','white',5.8,'majority'
'Craftsman-Construction','Professional-Salaried','intact','white',120.3,'minority'
'Craftsman-Construction','Manager','intact','white',26.7,'minority'
'Craftsman-Construction','Salesman-Nonretail','intact','white',18.2,'minority'
'Craftsman-Construction','Proprietor','intact','white',5.1,'minority'
'Craftsman-Construction','Clerk','intact','white',112.9,'minority'
'Craftsman-Construction','Salesman-Retail','intact','white',47,'minority'
'Craftsman-Construction','Craftsman-Manufacturing','intact','white',45.7,'minority'
'Craftsman-Construction','Craftsmen-Other','intact','white',62.6,'minority'
'Craftsman-Construction','Craftsman-Construction','intact','white',154.3,'minority'
'Craftsman-Construction','Service_Worker','intact','white',33.5,'minority'
'Craftsman-Construction','Operative-Nonmanufacturing','intact','white',115.6,'minority'
'Craftsman-Construction','Operative-Manufacturing','intact','white',131.8,'minority'
'Craftsman-Construction','Laborer-Manufacturing','intact','white',33.8,'majority'
'Craftsman-Construction','Laborer-Nonmanufacturing','intact','white',106.5,'minority'
'Craftsman-Construction','Farmer/Farm_Manager','intact','white',4.2,'majority'
'Craftsman-Construction','Farm_Laborer','intact','white',33.1,'majority'
'Service_Worker','Professional_Self-Employed','intact','white',3.3,'majority'
'Service_Worker','Professional-Salaried','intact','white',72.7,'minority'
'Service_Worker','Manager','intact','white',30,'minority'
'Service_Worker','Salesman-Nonretail','intact','white',17.7,'minority'
'Service_Worker','Proprietor','intact','white',1.7,'minority'
'Service_Worker','Clerk','intact','white',96.9,'minority'
'Service_Worker','Salesman-Retail','intact','white',28.2,'minority'
'Service_Worker','Craftsman-Manufacturing','intact','white',33.7,'minority'
'Service_Worker','Craftsmen-Other','intact','white',31.7,'minority'
'Service_Worker','Craftsman-Construction','intact','white',14.8,'minority'
'Service_Worker','Service_Worker','intact','white',44.1,'minority'
'Service_Worker','Operative-Nonmanufacturing','intact','white',55.9,'minority'
'Service_Worker','Operative-Manufacturing','intact','white',81.5,'minority'
'Service_Worker','Laborer-Manufacturing','intact','white',20.9,'majority'
'Service_Worker','Laborer-Nonmanufacturing','intact','white',36.6,'minority'
'Service_Worker','Farmer/Farm_Manager','intact','white',4.5,'majority'
'Service_Worker','Farm_Laborer','intact','white',8.6,'majority'
'Operative-Nonmanufacturing','Professional_Self-Employed','intact','white',3.8,'majority'
'Operative-Nonmanufacturing','Professional-Salaried','intact','white',117,'minority'
'Operative-Nonmanufacturing','Manager','intact','white',23.3,'minority'
'Operative-Nonmanufacturing','Salesman-Nonretail','intact','white',15.5,'minority'
'Operative-Nonmanufacturing','Proprietor','intact','white',5.4,'minority'
'Operative-Nonmanufacturing','Clerk','intact','white',149.3,'minority'
'Operative-Nonmanufacturing','Salesman-Retail','intact','white',58,'minority'
'Operative-Nonmanufacturing','Craftsman-Manufacturing','intact','white',42.9,'minority'
'Operative-Nonmanufacturing','Craftsmen-Other','intact','white',84.8,'minority'
'Operative-Nonmanufacturing','Craftsman-Construction','intact','white',41.1,'minority'
'Operative-Nonmanufacturing','Service_Worker','intact','white',51.6,'minority'
'Operative-Nonmanufacturing','Operative-Nonmanufacturing','intact','white',307.9,'minority'
'Operative-Nonmanufacturing','Operative-Manufacturing','intact','white',195.6,'minority'
'Operative-Nonmanufacturing','Laborer-Manufacturing','intact','white',54,'minority'
'Operative-Nonmanufacturing','Laborer-Nonmanufacturing','intact','white',117.2,'minority'
'Operative-Nonmanufacturing','Farmer/Farm_Manager','intact','white',8.7,'majority'
'Operative-Nonmanufacturing','Farm_Laborer','intact','white',44.5,'majority'
'Operative-Manufacturing','Professional_Self-Employed','intact','white',7.9,'majority'
'Operative-Manufacturing','Professional-Salaried','intact','white',127.9,'minority'
'Operative-Manufacturing','Manager','intact','white',26.6,'minority'
'Operative-Manufacturing','Salesman-Nonretail','intact','white',19.9,'minority'
'Operative-Manufacturing','Proprietor','intact','white',0.5,'minority'
'Operative-Manufacturing','Clerk','intact','white',147.2,'minority'
'Operative-Manufacturing','Salesman-Retail','intact','white',64,'minority'
'Operative-Manufacturing','Craftsman-Manufacturing','intact','white',87.4,'minority'
'Operative-Manufacturing','Craftsmen-Other','intact','white',74.2,'minority'
'Operative-Manufacturing','Craftsman-Construction','intact','white',25.5,'minority'
'Operative-Manufacturing','Service_Worker','intact','white',57.1,'minority'
'Operative-Manufacturing','Operative-Nonmanufacturing','intact','white',124,'minority'
'Operative-Manufacturing','Operative-Manufacturing','intact','white',427.4,'minority'
'Operative-Manufacturing','Laborer-Manufacturing','intact','white',88.7,'minority'
'Operative-Manufacturing','Laborer-Nonmanufacturing','intact','white',81.9,'minority'
'Operative-Manufacturing','Farmer/Farm_Manager','intact','white',6.8,'majority'
'Operative-Manufacturing','Farm_Laborer','intact','white',29.9,'majority'
'Laborer-Manufacturing','Professional_Self-Employed','intact','white',2.3,'majority'
'Laborer-Manufacturing','Professional-Salaried','intact','white',24.4,'minority'
'Laborer-Manufacturing','Manager','intact','white',3.1,'minority'
'Laborer-Manufacturing','Salesman-Nonretail','intact','white',3,'majority'
'Laborer-Manufacturing','Proprietor','intact','white',0,'majority'
'Laborer-Manufacturing','Clerk','intact','white',27.9,'minority'
'Laborer-Manufacturing','Salesman-Retail','intact','white',9.5,'majority'
'Laborer-Manufacturing','Craftsman-Manufacturing','intact','white',24.8,'minority'
'Laborer-Manufacturing','Craftsmen-Other','intact','white',19.2,'minority'
'Laborer-Manufacturing','Craftsman-Construction','intact','white',10,'minority'
'Laborer-Manufacturing','Service_Worker','intact','white',9,'majority'
'Laborer-Manufacturing','Operative-Nonmanufacturing','intact','white',40.8,'minority'
'Laborer-Manufacturing','Operative-Manufacturing','intact','white',69.9,'minority'
'Laborer-Manufacturing','Laborer-Manufacturing','intact','white',69.6,'minority'
'Laborer-Manufacturing','Laborer-Nonmanufacturing','intact','white',23.9,'majority'
'Laborer-Manufacturing','Farmer/Farm_Manager','intact','white',0.7,'majority'
'Laborer-Manufacturing','Farm_Laborer','intact','white',17.7,'majority'
'Laborer-Nonmanufacturing','Professional_Self-Employed','intact','white',3.8,'majority'
'Laborer-Nonmanufacturing','Professional-Salaried','intact','white',41.8,'minority'
'Laborer-Nonmanufacturing','Manager','intact','white',11.1,'minority'
'Laborer-Nonmanufacturing','Salesman-Nonretail','intact','white',7.1,'majority'
'Laborer-Nonmanufacturing','Proprietor','intact','white',4,'majority'
'Laborer-Nonmanufacturing','Clerk','intact','white',64.4,'minority'
'Laborer-Nonmanufacturing','Salesman-Retail','intact','white',20.3,'majority'
'Laborer-Nonmanufacturing','Craftsman-Manufacturing','intact','white',26.1,'minority'
'Laborer-Nonmanufacturing','Craftsmen-Other','intact','white',34.9,'minority'
'Laborer-Nonmanufacturing','Craftsman-Construction','intact','white',25.5,'minority'
'Laborer-Nonmanufacturing','Service_Worker','intact','white',25.5,'minority'
'Laborer-Nonmanufacturing','Operative-Nonmanufacturing','intact','white',71.4,'minority'
'Laborer-Nonmanufacturing','Operative-Manufacturing','intact','white',92.4,'minority'
'Laborer-Nonmanufacturing','Laborer-Manufacturing','intact','white',31.4,'majority'
'Laborer-Nonmanufacturing','Laborer-Nonmanufacturing','intact','white',89,'minority'
'Laborer-Nonmanufacturing','Farmer/Farm_Manager','intact','white',5.2,'majority'
'Laborer-Nonmanufacturing','Farm_Laborer','intact','white',30.6,'majority'
'Farmer/Farm_Manager','Professional_Self-Employed','intact','white',11.6,'minority'
'Farmer/Farm_Manager','Professional-Salaried','intact','white',210.8,'minority'
'Farmer/Farm_Manager','Manager','intact','white',50.1,'minority'
'Farmer/Farm_Manager','Salesman-Nonretail','intact','white',29.3,'minority'
'Farmer/Farm_Manager','Proprietor','intact','white',8.9,'minority'
'Farmer/Farm_Manager','Clerk','intact','white',157.1,'minority'
'Farmer/Farm_Manager','Salesman-Retail','intact','white',81.6,'minority'
'Farmer/Farm_Manager','Craftsman-Manufacturing','intact','white',69.7,'minority'
'Farmer/Farm_Manager','Craftsmen-Other','intact','white',118.1,'minority'
'Farmer/Farm_Manager','Craftsman-Construction','intact','white',94.2,'minority'
'Farmer/Farm_Manager','Service_Worker','intact','white',62.5,'minority'
'Farmer/Farm_Manager','Operative-Nonmanufacturing','intact','white',250.1,'minority'
'Farmer/Farm_Manager','Operative-Manufacturing','intact','white',294.7,'minority'
'Farmer/Farm_Manager','Laborer-Manufacturing','intact','white',89.1,'minority'
'Farmer/Farm_Manager','Laborer-Nonmanufacturing','intact','white',167.6,'minority'
'Farmer/Farm_Manager','Farmer/Farm_Manager','intact','white',377.7,'minority'
'Farmer/Farm_Manager','Farm_Laborer','intact','white',746.3,'minority'
'Farm_Laborer','Professional_Self-Employed','intact','white',1.5,'majority'
'Farm_Laborer','Professional-Salaried','intact','white',23.6,'minority'
'Farm_Laborer','Manager','intact','white',7.3,'minority'
'Farm_Laborer','Salesman-Nonretail','intact','white',3.2,'majority'
'Farm_Laborer','Proprietor','intact','white',1.5,'majority'
'Farm_Laborer','Clerk','intact','white',27.3,'minority'
'Farm_Laborer','Salesman-Retail','intact','white',16.5,'majority'
'Farm_Laborer','Craftsman-Manufacturing','intact','white',17.4,'minority'
'Farm_Laborer','Craftsmen-Other','intact','white',28.2,'minority'
'Farm_Laborer','Craftsman-Construction','intact','white',14.6,'minority'
'Farm_Laborer','Service_Worker','intact','white',20.5,'minority'
'Farm_Laborer','Operative-Nonmanufacturing','intact','white',64.4,'minority'
'Farm_Laborer','Operative-Manufacturing','intact','white',81.5,'minority'
'Farm_Laborer','Laborer-Manufacturing','intact','white',19.1,'minority'
'Farm_Laborer','Laborer-Nonmanufacturing','intact','white',40.8,'minority'
'Farm_Laborer','Farmer/Farm_Manager','intact','white',11.2,'minority'
'Farm_Laborer','Farm_Laborer','intact','white',239.3,'minority'
'Professional_Self-Employed','Professional_Self-Employed','nonintact','white',0.9,'majority'
'Professional_Self-Employed','Professional-Salaried','nonintact','white',5,'majority'
'Professional_Self-Employed','Manager','nonintact','white',1.1,'majority'
'Professional_Self-Employed','Salesman-Nonretail','nonintact','white',2.1,'majority'
'Professional_Self-Employed','Proprietor','nonintact','white',0,'majority'
'Professional_Self-Employed','Clerk','nonintact','white',2.1,'majority'
'Professional_Self-Employed','Salesman-Retail','nonintact','white',1.5,'majority'
'Professional_Self-Employed','Craftsman-Manufacturing','nonintact','white',0,'majority'
'Professional_Self-Employed','Craftsmen-Other','nonintact','white',0,'majority'
'Professional_Self-Employed','Craftsman-Construction','nonintact','white',0.9,'majority'
'Professional_Self-Employed','Service_Worker','nonintact','white',0.8,'majority'
'Professional_Self-Employed','Operative-Nonmanufacturing','nonintact','white',2.3,'majority'
'Professional_Self-Employed','Operative-Manufacturing','nonintact','white',1.9,'majority'
'Professional_Self-Employed','Laborer-Manufacturing','nonintact','white',1.6,'majority'
'Professional_Self-Employed','Laborer-Nonmanufacturing','nonintact','white',0.9,'majority'
'Professional_Self-Employed','Farmer/Farm_Manager','nonintact','white',0.7,'majority'
'Professional_Self-Employed','Farm_Laborer','nonintact','white',0,'majority'
'Professional-Salaried','Professional_Self-Employed','nonintact','white',0,'majority'
'Professional-Salaried','Professional-Salaried','nonintact','white',33.9,'minority'
'Professional-Salaried','Manager','nonintact','white',5.6,'majority'
'Professional-Salaried','Salesman-Nonretail','nonintact','white',4,'majority'
'Professional-Salaried','Proprietor','nonintact','white',0.8,'majority'
'Professional-Salaried','Clerk','nonintact','white',11.6,'majority'
'Professional-Salaried','Salesman-Retail','nonintact','white',5.1,'majority'
'Professional-Salaried','Craftsman-Manufacturing','nonintact','white',5.4,'majority'
'Professional-Salaried','Craftsmen-Other','nonintact','white',4.3,'majority'
'Professional-Salaried','Craftsman-Construction','nonintact','white',1.5,'majority'
'Professional-Salaried','Service_Worker','nonintact','white',8.6,'majority'
'Professional-Salaried','Operative-Nonmanufacturing','nonintact','white',8.5,'majority'
'Professional-Salaried','Operative-Manufacturing','nonintact','white',9.5,'majority'
'Professional-Salaried','Laborer-Manufacturing','nonintact','white',2.4,'majority'
'Professional-Salaried','Laborer-Nonmanufacturing','nonintact','white',4.6,'majority'
'Professional-Salaried','Farmer/Farm_Manager','nonintact','white',0.8,'majority'
'Professional-Salaried','Farm_Laborer','nonintact','white',4.2,'majority'
'Manager','Professional_Self-Employed','nonintact','white',1.3,'majority'
'Manager','Professional-Salaried','nonintact','white',14,'majority'
'Manager','Manager','nonintact','white',1.5,'majority'
'Manager','Salesman-Nonretail','nonintact','white',6.8,'majority'
'Manager','Proprietor','nonintact','white',0.6,'majority'
'Manager','Clerk','nonintact','white',10.3,'majority'
'Manager','Salesman-Retail','nonintact','white',6.3,'majority'
'Manager','Craftsman-Manufacturing','nonintact','white',2.3,'majority'
'Manager','Craftsmen-Other','nonintact','white',4.4,'majority'
'Manager','Craftsman-Construction','nonintact','white',1.6,'majority'
'Manager','Service_Worker','nonintact','white',3.2,'majority'
'Manager','Operative-Nonmanufacturing','nonintact','white',7.6,'majority'
'Manager','Operative-Manufacturing','nonintact','white',3.4,'majority'
'Manager','Laborer-Manufacturing','nonintact','white',2.5,'majority'
'Manager','Laborer-Nonmanufacturing','nonintact','white',5.7,'majority'
'Manager','Farmer/Farm_Manager','nonintact','white',0,'majority'
'Manager','Farm_Laborer','nonintact','white',1.6,'majority'
'Salesman-Nonretail','Professional_Self-Employed','nonintact','white',0,'majority'
'Salesman-Nonretail','Professional-Salaried','nonintact','white',4.8,'majority'
'Salesman-Nonretail','Manager','nonintact','white',3.7,'majority'
'Salesman-Nonretail','Salesman-Nonretail','nonintact','white',3.4,'majority'
'Salesman-Nonretail','Proprietor','nonintact','white',0,'majority'
'Salesman-Nonretail','Clerk','nonintact','white',3.2,'majority'
'Salesman-Nonretail','Salesman-Retail','nonintact','white',0.7,'majority'
'Salesman-Nonretail','Craftsman-Manufacturing','nonintact','white',0.8,'majority'
'Salesman-Nonretail','Craftsmen-Other','nonintact','white',0.6,'majority'
'Salesman-Nonretail','Craftsman-Construction','nonintact','white',0.4,'majority'
'Salesman-Nonretail','Service_Worker','nonintact','white',1.7,'majority'
'Salesman-Nonretail','Operative-Nonmanufacturing','nonintact','white',3.7,'majority'
'Salesman-Nonretail','Operative-Manufacturing','nonintact','white',2.4,'majority'
'Salesman-Nonretail','Laborer-Manufacturing','nonintact','white',0,'majority'
'Salesman-Nonretail','Laborer-Nonmanufacturing','nonintact','white',1.5,'majority'
'Salesman-Nonretail','Farmer/Farm_Manager','nonintact','white',0,'majority'
'Salesman-Nonretail','Farm_Laborer','nonintact','white',0,'majority'
'Proprietor','Professional_Self-Employed','nonintact','white',1.5,'majority'
'Proprietor','Professional-Salaried','nonintact','white',13.3,'majority'
'Proprietor','Manager','nonintact','white',6.5,'majority'
'Proprietor','Salesman-Nonretail','nonintact','white',4,'majority'
'Proprietor','Proprietor','nonintact','white',3,'majority'
'Proprietor','Clerk','nonintact','white',10.4,'majority'
'Proprietor','Salesman-Retail','nonintact','white',5,'majority'
'Proprietor','Craftsman-Manufacturing','nonintact','white',1.2,'majority'
'Proprietor','Craftsmen-Other','nonintact','white',6.5,'majority'
'Proprietor','Craftsman-Construction','nonintact','white',3.7,'majority'
'Proprietor','Service_Worker','nonintact','white',4.9,'majority'
'Proprietor','Operative-Nonmanufacturing','nonintact','white',7.6,'majority'
'Proprietor','Operative-Manufacturing','nonintact','white',18.1,'majority'
'Proprietor','Laborer-Manufacturing','nonintact','white',3,'majority'
'Proprietor','Laborer-Nonmanufacturing','nonintact','white',7.3,'majority'
'Proprietor','Farmer/Farm_Manager','nonintact','white',0.4,'majority'
'Proprietor','Farm_Laborer','nonintact','white',2.6,'majority'
'Clerk','Professional_Self-Employed','nonintact','white',1.4,'majority'
'Clerk','Professional-Salaried','nonintact','white',40.5,'minority'
'Clerk','Manager','nonintact','white',7.5,'minority'
'Clerk','Salesman-Nonretail','nonintact','white',4.2,'majority'
